,assistsplayer_1,assistsplayer_2,assistsplayer_3,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,assistsplayer_10,currentGold_1,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,currentGold_10,deathsplayer_1,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_8,deathsplayer_9,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_4,baron_team200,deathsplayer_10,deathsplayer_7,dragon_team100,inhibs_lost_team200,riftherald_team100,baron_team100,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,1,4,1,4,7,3,7,5,7,28,80,522,593,689,553,2406,1950,398,208,1,9,4,2,5,2,2,3,3,CLASSIC,MATCHED_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,1,8,0,60,0,4,0,4,92,0,16,1,3,2,1,2,1,2,6,5,5,11,9,10,10,10,9,11,10,12,11,0,4462,377,1034,0,3965,6570,6588,13905,548,102,6,21,81,118,12,100,6,127,135,4894,595,7228,3193,3778,1118,4341,271,466,11413,1,1,24938,26819,409854,68041,8818,113125,330536,140614,186813,158838,1200407,4894,5235,8293,5426,4845,5678,10911,7113,15065,12340,6203,6358,5955,5552,6243,4914,7243,7756,8295,9048,7,1,0,178,687,1198,1066,594,0,253,693,378,48,6,23,8,3,2,66,6,7,7,5,200,7453,5501,6639,7265,6880,5854,8524,7057,9361,7565,0,0,0,0,0,0,0,0,0,21,7,30,30,72,112,7,21,50,53,5376,32073,334,374,20211,17086,624776,843620,29136,50664,28867,38700,3545,1502,85,48,10,29,34091,38008
1,2,7,6,16,0,5,5,6,7,343,1752,933,131,402,464,525,298,1242,195,3,3,6,6,3,3,8,4,2,CLASSIC,MATCHED_GAME,11.19.398.9466,0,30,0,0,0,30,0,0,0,0,1,0,0,129,4,3,0,4,88,6,0,2,2,3,3,13,6,5,3,7,4,12,9,13,11,13,10,13,12,11,12,2138,5352,14299,323,1241,6290,0,5071,1195,8334,158,20,45,88,158,18,145,21,114,117,11203,1093,315,10992,15588,1641,5999,1048,12414,2060,0,0,8289,51359,171801,44299,23157,53725,116195,659338,112264,114051,1200297,13341,7634,14953,11917,19117,8587,5999,6581,13996,10746,8613,5385,8912,6338,11871,8052,8279,6640,8898,7507,6,7,0,1188,338,601,2287,654,0,461,386,351,0,33,21,5,3,11,31,6,2,12,12,200,9133,5599,10455,8464,10464,7213,10824,9094,8200,8654,8,2,9,3,2,1,2,0,0,21,27,30,30,136,98,27,21,59,57,24291,19952,467,417,39739,22614,301271,1053207,67915,44956,43786,36709,3880,2386,83,53,39,23,45729,42371
2,1,3,3,4,3,9,2,5,11,3176,64,1515,672,547,62,829,735,46,303,2,3,8,2,6,4,3,4,2,CLASSIC,MATCHED_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,0,12,0,108,8,4,0,0,119,8,0,5,2,1,9,4,1,1,4,7,7,14,11,11,12,12,8,11,12,13,11,2522,3397,418,11499,9362,1193,2512,8208,1382,848,174,32,6,110,140,19,107,15,124,156,7052,843,6680,1098,637,422,1479,567,6496,10618,0,1,100215,50402,150845,145414,124675,94692,242262,351810,102096,49240,1200357,9798,4773,7406,13344,9999,1615,3992,9320,9408,11467,12109,5828,7014,8905,7892,5047,5897,8444,8150,8841,0,9,224,532,307,746,0,0,0,544,1529,0,0,8,30,4,8,11,34,8,6,8,10,100,11555,7523,7746,9416,8609,4721,8549,9115,10419,7786,3,0,5,4,2,1,1,1,0,21,20,30,30,132,127,20,21,57,58,24994,16347,449,434,15889,20003,615841,795810,42162,38960,40967,37160,1277,2605,65,62,14,30,42047,43392
3,4,3,3,6,4,12,6,11,10,709,611,965,510,324,502,1188,618,2241,453,5,3,7,3,5,5,2,0,3,CLASSIC,MATCHED_GAME,11.17.393.607,0,30,0,0,0,30,0,0,0,0,0,0,1,142,6,0,0,0,90,4,0,3,4,5,2,2,0,3,5,5,6,12,11,13,12,10,9,11,11,13,13,7583,4614,370,9809,4442,2327,681,399,9049,0,128,37,18,147,119,16,114,6,162,172,2434,2311,10199,376,4665,744,6888,8395,1204,11742,0,1,67778,240343,298957,39930,9448,131157,116132,203448,158653,48680,1200297,14078,7760,11320,10186,9802,3072,9965,9486,10254,11874,8174,6913,9201,6975,6185,4799,6277,7588,9128,10241,5,8,4059,834,751,0,694,0,2395,691,0,132,0,13,67,8,14,15,47,7,14,16,16,100,9120,7375,10130,8718,6577,5410,8241,8021,10254,10058,2,2,1,4,3,1,1,1,0,23,12,30,30,148,95,12,23,56,59,24531,14743,428,491,18418,30540,547270,767256,48458,49339,35334,40147,5504,4052,97,120,18,43,39955,43949
4,1,3,5,7,2,0,2,1,3,532,42,736,822,814,290,105,314,668,562,0,2,2,0,0,1,1,3,0,CLASSIC,CUSTOM_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,0,36,0,125,4,8,0,0,118,0,0,3,0,4,2,1,0,0,4,0,0,12,8,11,12,11,9,12,11,12,10,399,2123,698,7252,165,2413,0,880,2730,1233,134,37,8,168,175,14,151,6,163,146,10685,686,5009,527,2430,399,3127,4155,138,2429,1,0,228456,30452,131381,349213,125092,122813,103737,238766,122649,182937,1200429,11104,3062,5961,7780,2595,2812,3383,5913,2915,3662,7547,4402,7832,7286,7797,4914,6290,8105,7094,5858,1,8,20,252,254,0,0,0,256,877,46,0,0,13,53,4,18,53,29,9,7,10,7,100,9492,4626,7864,9627,7978,5084,9367,7751,9251,6320,4,0,3,2,4,1,1,1,0,4,10,30,30,173,118,10,4,55,53,10927,6966,499,503,19050,10535,956955,678541,30252,18935,35376,31749,274,1431,117,86,20,8,40045,37315
5,0,4,3,11,7,7,5,3,5,442,264,451,324,417,352,540,573,1083,438,6,2,4,3,1,2,3,7,1,CLASSIC,MATCHED_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,2,15,0,108,4,21,0,0,88,0,8,0,2,9,3,8,1,5,3,2,4,12,10,12,12,12,9,12,11,12,11,850,3315,3566,10305,483,2985,2029,6109,7771,849,119,27,15,129,155,36,121,25,146,150,2264,1490,7664,592,8196,408,9945,1107,1811,6561,2,0,67084,241657,558259,58891,136022,78655,20905,221107,448065,51194,1200350,3145,5219,12682,11517,9395,4015,12413,7539,10452,7410,6492,5138,9403,7001,10624,6167,8972,7390,7123,8473,9,7,30,414,1452,619,715,622,438,323,868,0,13,8,52,4,10,10,36,3,17,9,16,200,8901,6382,9595,9541,9321,5898,9644,7671,9676,8491,3,1,4,5,4,0,0,1,0,16,21,30,30,148,96,21,16,57,56,18189,20073,454,469,19124,20914,898911,982928,40754,43033,39687,37096,3438,2043,68,97,21,27,43256,41864
6,4,5,10,13,2,4,3,1,3,579,1838,1930,2120,1287,583,88,203,636,208,3,2,3,2,1,8,8,8,1,CLASSIC,MATCHED_GAME,11.22.406.3587,0,30,0,0,0,30,0,0,0,0,0,16,0,90,4,0,0,4,101,0,0,4,1,13,10,9,1,3,4,2,1,11,8,12,13,13,10,12,11,11,10,388,0,9651,3216,1078,2832,0,0,5848,7935,98,29,9,121,183,30,121,19,122,141,4409,6387,935,14790,13476,2068,12284,5309,1111,826,0,0,76035,86944,107725,36165,41083,53443,217420,210598,57308,154508,1200416,6732,6387,11591,18735,14554,5453,12957,7129,8214,8762,8489,5358,9972,10160,10495,5787,7823,8238,6353,6261,1,6,1934,0,1004,729,0,551,673,1819,1253,0,0,5,15,5,27,48,17,6,3,25,8,100,8124,4456,8648,11226,10703,6884,8884,7834,7472,6705,9,0,7,6,2,0,2,1,0,11,37,30,30,110,105,37,11,59,52,17165,13783,441,432,35678,25917,314451,726778,57065,43449,44903,34033,4218,3745,102,57,41,13,45585,35351
7,2,3,3,6,0,4,0,5,7,368,223,278,597,228,56,859,982,894,281,3,3,3,2,2,2,5,3,3,CLASSIC,MATCHED_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,3,0,0,115,4,0,4,12,107,0,1,2,1,3,3,8,2,5,2,1,4,12,10,11,11,12,9,13,11,11,11,3126,7283,458,1627,0,2973,456,0,4530,551,129,28,18,124,88,33,163,4,128,146,2392,464,5879,5029,7835,1332,5097,6438,1639,6294,0,1,44469,106009,146179,38909,114854,155158,92904,170363,489600,59072,1200288,8485,9909,7089,6854,10018,4747,8444,7787,6579,6845,7428,5841,8024,7358,8202,5898,9888,6584,6197,7604,11,4,2966,2160,751,198,2183,442,2889,1349,410,0,0,10,40,1,21,6,44,5,6,10,62,200,8748,6237,7858,7341,8955,5948,11016,7667,8336,7789,2,1,4,4,2,0,1,1,0,13,18,30,30,123,120,18,13,55,56,8184,12820,392,469,22467,19932,499569,917948,37193,39564,36910,36114,6540,6808,82,123,16,16,38850,41045
8,5,4,5,2,6,4,1,3,6,93,683,77,380,217,106,857,643,529,676,5,2,4,3,4,4,1,2,3,CLASSIC,MATCHED_GAME,11.21.403.3002,0,30,0,0,0,30,0,0,0,0,1,0,0,98,0,0,0,4,133,20,8,3,1,4,0,0,2,2,6,6,3,12,9,11,12,10,9,13,12,12,11,497,1379,5868,3216,294,1567,11270,0,1379,6606,116,24,15,136,130,35,146,19,135,159,6268,927,248,4231,3528,678,2120,8381,7296,529,1,0,105481,34193,199950,126381,366475,105860,43479,250245,128337,130704,1200353,8653,2520,6727,7542,3985,2371,13390,8915,10682,7136,7293,5926,8258,6027,5675,4762,7856,8782,8528,9119,7,7,1887,214,609,94,162,126,0,534,2006,0,0,16,26,11,10,12,47,9,18,11,12,100,8714,5576,8367,8580,7024,5308,10084,9957,9886,7456,1,1,1,1,2,1,0,1,0,18,9,30,30,98,165,9,18,54,57,11442,20634,432,483,14953,19253,904147,586958,29278,42643,32015,40211,2878,2754,96,76,17,20,37993,42959
9,4,3,1,3,1,2,2,3,3,2904,6,954,1024,121,546,1034,146,1399,717,1,5,2,1,0,3,3,2,2,CLASSIC,MATCHED_GAME,11.22.406.3587,0,30,0,0,0,30,0,0,0,0,2,108,0,0,4,0,0,0,98,0,4,6,0,0,3,2,0,4,2,2,1,12,9,12,12,11,9,12,11,12,11,11431,1243,2649,0,1105,2806,9355,5109,1012,207,19,4,147,94,170,9,131,19,147,181,456,355,6172,4067,3538,523,2595,510,6546,9910,0,1,249401,124447,78775,162352,39111,20083,392333,389747,792,50177,1200388,13808,1599,8821,4488,5254,3412,11950,6158,8022,11369,9210,4367,6146,6779,7544,4146,6796,6324,7061,9074,10,3,1920,0,0,420,610,82,0,538,464,1251,0,13,29,11,12,15,26,10,7,34,11,200,9018,5977,9195,8811,7653,5418,9678,7709,9151,7808,0,1,0,3,2,0,1,0,0,9,11,30,30,112,102,11,9,56,55,17991,16926,439,482,14756,19916,549722,957496,35783,39098,33825,33622,3032,2253,77,91,11,11,40095,40323
