,0
0,NA1_4105017995
1,NA1_4105001421
2,NA1_4104901232
3,NA1_4104795777
4,NA1_4104727661
5,NA1_4104702868
6,NA1_4104685880
7,NA1_4104680400
8,NA1_4104183747
9,NA1_4104087496
10,NA1_4104068983
11,NA1_4104012231
12,NA1_4103972775
13,NA1_4103923524
14,NA1_4103828018
15,NA1_4103813376
16,NA1_4103727753
17,NA1_4103730602
18,NA1_4103702334
19,NA1_4103597522
20,NA1_4103610531
21,NA1_4103554655
22,NA1_4102974959
23,NA1_4102947153
24,NA1_4102893352
25,NA1_4102823291
26,NA1_4102745693
27,NA1_4102707325
28,NA1_4102700060
29,NA1_4102642911
30,NA1_4102596440
31,NA1_4102542099
32,NA1_4102425625
33,NA1_4102239549
34,NA1_4102232556
35,NA1_4101575476
36,NA1_4101499013
37,NA1_4101522332
38,NA1_4101465045
39,NA1_4101348555
40,NA1_4101381132
41,NA1_4101323999
42,NA1_4101226846
43,NA1_4101232284
44,NA1_4101164600
45,NA1_4101190011
46,NA1_4101094395
47,NA1_4101120287
48,NA1_4100589742
49,NA1_4100563328
50,NA1_4100487908
51,NA1_4100472750
52,NA1_4100337666
53,NA1_4100290600
54,NA1_4100253237
55,NA1_4100175141
56,NA1_4099222803
57,NA1_4099163306
58,NA1_4099076295
59,NA1_4099014313
60,NA1_4098913982
61,NA1_4098836253
62,NA1_4098807585
63,NA1_4098790121
64,NA1_4098704461
65,NA1_4098678629
66,NA1_4098624467
67,NA1_4098630633
68,NA1_4098059720
69,NA1_4098053837
70,NA1_4098024391
71,NA1_4097907283
72,NA1_4097881885
73,NA1_4097795835
74,NA1_4097801571
75,NA1_4097727881
76,NA1_4097699544
77,NA1_4097681793
78,NA1_4097627349
79,NA1_4097602399
80,NA1_4097599741
81,NA1_4097048095
82,NA1_4097041918
83,NA1_4096944824
84,NA1_4096916186
85,NA1_4096836250
86,NA1_4096738844
87,NA1_4096668863
88,NA1_4096672009
89,NA1_4096414485
90,NA1_4096299141
91,NA1_4096293778
92,NA1_4096208843
93,NA1_4096213108
94,NA1_4096129065
95,NA1_4096094052
96,NA1_4096059248
97,NA1_4095668350
98,NA1_4095624114
99,NA1_4095544201
100,NA1_4101164600
101,NA1_4100098216
102,NA1_4100141873
103,NA1_4100058151
104,NA1_4100072855
105,NA1_4099989085
106,NA1_4099914194
107,NA1_4098760556
108,NA1_4098630633
109,NA1_4098604483
110,NA1_4097625309
111,NA1_4097572065
112,NA1_4097535177
113,NA1_4097490897
114,NA1_4096239933
115,NA1_4096195725
116,NA1_4096190592
117,NA1_4096136748
118,NA1_4095200457
119,NA1_4095122164
120,NA1_4095076907
121,NA1_4094974470
122,NA1_4094927934
123,NA1_4092566425
124,NA1_4092581072
125,NA1_4092516273
126,NA1_4092501459
127,NA1_4092438147
128,NA1_4092413677
129,NA1_4092379512
130,NA1_4091519677
131,NA1_4091483523
132,NA1_4091510451
133,NA1_4091436516
134,NA1_4091421275
135,NA1_4090424014
