,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,riftherald_team100,killsplayer_10,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,4.0,7.0,2.0,2.0,2.0,9.0,5.0,7.0,2.0,4.0,1.0,1.0,733.0,460.0,363.0,1093.0,147.0,206.0,1018.0,1479.0,-97.0,2874.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,123.0,6.0,4.0,0.0,0.0,106.0,13.0,0.0,1.0,1.0,3.0,6.0,3.0,1.0,4.0,4.0,3.0,3.0,11.0,9.0,11.0,13.0,10.0,10.0,12.0,11.0,12.0,11.0,519.0,3479.0,232.0,16828.0,0.0,3617.0,1016.0,780.0,8626.0,4393.0,120.0,32.0,14.0,172.0,161.0,3.0,139.0,6.0,144.0,151.0,4898.0,251.0,6328.0,178.0,8139.0,271.0,6501.0,7544.0,886.0,410.0,1.0,1.0,170523.0,25440.0,454485.0,196625.0,25561.0,44984.0,26191.0,393242.0,198161.0,122029.0,1200351.0,6908.0,4072.0,7171.0,17109.0,8139.0,4350.0,7989.0,8756.0,9513.0,4803.0,6133.0,4470.0,7788.0,9088.0,8402.0,5516.0,9113.0,7654.0,7648.0,7599.0,6.0,8.0,1490.0,342.0,610.0,102.0,0.0,462.0,472.0,432.0,0.0,0.0,13.0,31.0,9.0,18.0,16.0,42.0,8.0,2.0,12.0,12.0,100.0,8103.0,5890.0,8177.0,10641.0,7016.0,6719.0,9776.0,8247.0,8804.0,8017.0,0.0,0.0,0.0,14,15,30,30,133,119,14,14,55,55,21196,18294,470,472,19814,15592,892178,765063,43677,35133,36927,36484,2664,1246,98,65,19,25,40656,40734
1,4.0,7.0,5.0,2.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,684.0,306.0,1405.0,331.0,407.0,883.0,906.0,412.0,672.0,285.0,5.0,3.0,2.0,0.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,4.0,0.0,0.0,12.0,134.0,0.0,3.0,0.0,3.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,6.0,11.0,9.0,12.0,13.0,11.0,10.0,13.0,12.0,12.0,10.0,7504.0,2447.0,756.0,10488.0,1064.0,4227.0,0.0,3164.0,0.0,2411.0,116.0,3.0,11.0,184.0,158.0,11.0,157.0,14.0,140.0,132.0,4816.0,915.0,5428.0,1492.0,10025.0,1584.0,11861.0,264.0,4877.0,10568.0,0.0,0.0,64925.0,25611.0,297909.0,56909.0,89894.0,28812.0,42066.0,314016.0,122430.0,11696.0,1200309.0,12321.0,3363.0,6906.0,12560.0,11089.0,5892.0,13232.0,3783.0,5137.0,13757.0,6794.0,4966.0,8595.0,8786.0,8497.0,5818.0,8721.0,6812.0,6047.0,8085.0,1.0,8.0,0.0,0.0,721.0,580.0,0.0,80.0,1370.0,354.0,260.0,777.0,245.0,12.0,6.0,7.0,9.0,18.0,9.0,7.0,4.0,8.0,100.0,8358.0,5375.0,8918.0,11114.0,8209.0,6304.0,10536.0,8678.0,8871.0,6614.0,2.0,0.0,0.0,12,17,30,30,136,149,17,12,57,56,24039,8022,480,446,23345,28485,538449,515819,48768,39272,38490,34631,1381,2761,285,40,22,11,42903,40074
2,0.0,5.0,4.0,2.0,6.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1661.0,732.0,98.0,419.0,360.0,1259.0,428.0,419.0,451.0,254.0,3.0,5.0,3.0,3.0,7.0,4.0,4.0,0.0,3.0,1.0,1.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112.0,0.0,4.0,0.0,15.0,108.0,4.0,4.0,0.0,5.0,1.0,0.0,0.0,7.0,4.0,4.0,4.0,4.0,13.0,10.0,12.0,11.0,10.0,10.0,13.0,11.0,13.0,11.0,0.0,7473.0,631.0,2040.0,2876.0,5105.0,519.0,1295.0,797.0,6738.0,153.0,20.0,22.0,119.0,126.0,12.0,124.0,30.0,154.0,151.0,6477.0,1394.0,4854.0,89.0,3177.0,1257.0,7763.0,1092.0,9798.0,1328.0,0.0,1.0,4557.0,246525.0,559498.0,20875.0,14861.0,19684.0,200037.0,963748.0,77388.0,103565.0,1200313.0,8930.0,9469.0,6180.0,3305.0,7280.0,6757.0,8944.0,2524.0,11349.0,8067.0,8181.0,6232.0,6813.0,5549.0,6290.0,6709.0,8168.0,7569.0,7721.0,8614.0,9.0,2.0,2453.0,601.0,695.0,1176.0,1226.0,394.0,662.0,136.0,754.0,0.0,11.0,29.0,9.0,14.0,10.0,42.0,15.0,0.0,10.0,10.0,200.0,10491.0,6655.0,9101.0,8118.0,6899.0,6339.0,10282.0,8470.0,10956.0,8427.0,0.0,4.0,0.0,20,13,30,30,116,131,13,20,56,58,10652,16822,432,479,15854,21375,619475,1591263,32452,40353,33542,38304,5944,2153,86,64,12,13,40948,44790
3,2.0,8.0,9.0,5.0,10.0,8.0,2.0,3.0,2.0,6.0,1.0,1.0,399.0,286.0,1265.0,638.0,965.0,794.0,399.0,330.0,342.0,684.0,5.0,6.0,2.0,1.0,3.0,3.0,8.0,4.0,5.0,5.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,2.0,12.0,0.0,114.0,4.0,16.0,0.0,0.0,117.0,0.0,0.0,0.0,11.0,6.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,14.0,10.0,12.0,13.0,11.0,10.0,11.0,12.0,12.0,10.0,0.0,4948.0,481.0,7231.0,738.0,3053.0,33.0,10192.0,1297.0,5729.0,143.0,31.0,40.0,153.0,124.0,31.0,127.0,38.0,173.0,62.0,18272.0,1809.0,10618.0,1175.0,7271.0,2036.0,11458.0,163.0,8436.0,1728.0,0.0,0.0,89582.0,35207.0,317685.0,415440.0,47997.0,178981.0,145139.0,148239.0,12483.0,170502.0,1200414.0,20134.0,6757.0,11998.0,8406.0,8010.0,5851.0,13402.0,10724.0,9733.0,7590.0,11249.0,6211.0,9840.0,8048.0,8615.0,6389.0,7724.0,7295.0,8577.0,6479.0,3.0,10.0,1861.0,0.0,899.0,0.0,0.0,762.0,1910.0,368.0,0.0,132.0,10.0,32.0,11.0,15.0,8.0,34.0,9.0,11.0,19.0,30.0,100.0,12287.0,6262.0,9896.0,10086.0,7990.0,6263.0,8091.0,8890.0,9360.0,6654.0,2.0,3.0,0.0,14,28,30,60,146,117,28,14,60,55,11503,22199,491,431,39372,23594,1049685,511570,54399,48206,44141,36286,3522,2410,78,101,34,21,46522,39257
4,8.0,8.0,4.0,7.0,5.0,9.0,1.0,2.0,1.0,5.0,2.0,0.0,275.0,163.0,60.0,304.0,290.0,125.0,470.0,54.0,97.0,554.0,4.0,2.0,0.0,5.0,3.0,2.0,5.0,2.0,5.0,3.0,1.0,4.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,114.0,0.0,4.0,0.0,12.0,92.0,8.0,0.0,0.0,1.0,8.0,2.0,3.0,3.0,3.0,2.0,8.0,1.0,11.0,8.0,12.0,11.0,11.0,9.0,12.0,11.0,12.0,10.0,2683.0,1190.0,7755.0,5953.0,949.0,3012.0,0.0,4308.0,3923.0,714.0,80.0,19.0,18.0,103.0,157.0,21.0,138.0,38.0,123.0,140.0,3128.0,299.0,355.0,502.0,8257.0,644.0,7181.0,414.0,6883.0,3869.0,0.0,1.0,237616.0,75569.0,122397.0,40142.0,35835.0,46171.0,77316.0,87388.0,299609.0,11097.0,1200286.0,6040.0,1490.0,8473.0,6455.0,9361.0,4115.0,8070.0,5366.0,15485.0,4778.0,5425.0,4948.0,9185.0,6369.0,7290.0,5435.0,7885.0,6589.0,9472.0,6854.0,5.0,9.0,227.0,0.0,362.0,0.0,154.0,458.0,888.0,643.0,4678.0,194.0,151.0,40.0,12.0,6.0,11.0,45.0,9.0,13.0,11.0,14.0,100.0,8196.0,4718.0,9603.0,7671.0,8139.0,5643.0,8742.0,7538.0,8645.0,7134.0,0.0,0.0,1.0,14,17,30,30,118,112,17,14,54,53,20352,10135,379,458,12886,18646,482161,550979,34444,35189,33704,35748,1201,6403,225,87,33,17,39252,36777
5,7.0,17.0,5.0,6.0,7.0,12.0,7.0,7.0,8.0,8.0,0.0,1.0,383.0,490.0,624.0,289.0,542.0,687.0,271.0,539.0,49.0,1270.0,5.0,4.0,5.0,4.0,9.0,9.0,4.0,4.0,2.0,5.0,0.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,88.0,0.0,3.0,0.0,4.0,105.0,9.0,8.0,0.0,4.0,1.0,4.0,8.0,2.0,8.0,3.0,11.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,13.0,11.0,12.0,11.0,4650.0,2534.0,667.0,6655.0,1563.0,7223.0,3764.0,800.0,15544.0,1087.0,77.0,18.0,5.0,113.0,96.0,28.0,160.0,10.0,102.0,121.0,4393.0,1368.0,5192.0,467.0,13551.0,1281.0,9841.0,7015.0,882.0,12533.0,2.0,0.0,506448.0,34556.0,253971.0,212681.0,9082.0,179213.0,60174.0,277339.0,171593.0,99758.0,1200431.0,9387.0,4377.0,6286.0,7122.0,15646.0,8838.0,13657.0,8406.0,16499.0,13621.0,6158.0,6505.0,5749.0,6334.0,8501.0,6536.0,11411.0,7469.0,9554.0,10005.0,10.0,0.0,343.0,474.0,426.0,0.0,531.0,334.0,52.0,591.0,72.0,0.0,67.0,36.0,12.0,7.0,36.0,30.0,6.0,12.0,10.0,9.0,200.0,8083.0,5234.0,6247.0,7505.0,6859.0,4919.0,10805.0,7996.0,8601.0,8278.0,0.0,1.0,1.0,32,19,30,30,95,126,19,32,50,56,20758,23729,319,411,24884,31639,1161395,643420,47279,56560,33278,44944,1634,1189,152,73,37,47,33613,40914
6,2.0,1.0,5.0,6.0,3.0,5.0,1.0,7.0,8.0,8.0,0.0,0.0,819.0,908.0,435.0,714.0,389.0,594.0,1334.0,908.0,600.0,1337.0,4.0,4.0,5.0,8.0,8.0,6.0,3.0,2.0,8.0,5.0,0.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,12.0,92.0,0.0,0.0,4.0,12.0,106.0,0.0,4.0,0.0,5.0,8.0,0.0,3.0,6.0,10.0,10.0,0.0,6.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,12.0,9.0,12.0,6482.0,1557.0,1395.0,131.0,0.0,2574.0,3642.0,1092.0,1920.0,11747.0,111.0,132.0,17.0,100.0,108.0,31.0,164.0,5.0,2.0,111.0,3429.0,11102.0,9602.0,8413.0,4968.0,11841.0,11956.0,14499.0,428.0,457.0,0.0,1.0,221461.0,10043.0,254130.0,147284.0,8090.0,0.0,0.0,131894.0,72640.0,82968.0,1200271.0,9911.0,13138.0,11707.0,9355.0,6462.0,14416.0,16348.0,15951.0,2348.0,12204.0,7539.0,8148.0,10210.0,5994.0,6489.0,7402.0,10734.0,9633.0,4850.0,8157.0,4.0,2.0,0.0,478.0,709.0,810.0,1493.0,0.0,749.0,359.0,0.0,0.0,7.0,6.0,4.0,5.0,7.0,20.0,7.0,3.0,18.0,7.0,200.0,9600.0,9620.0,8996.0,8784.0,7117.0,6563.0,8899.0,9782.0,5725.0,9319.0,0.0,5.0,0.0,31,22,30,30,96,134,22,31,56,57,10582,19958,367,414,38253,38442,630965,297545,51851,59989,37634,41522,3012,1586,43,41,21,25,41060,43345
7,4.0,3.0,5.0,3.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,753.0,86.0,489.0,88.0,138.0,97.0,476.0,149.0,534.0,127.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,CLASSIC,MATCHED_GAME,11.19.398.9466,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,103.0,4.0,8.0,0.0,0.0,120.0,8.0,4.0,0.0,2.0,8.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,11.0,8.0,12.0,13.0,11.0,9.0,12.0,10.0,13.0,11.0,509.0,2090.0,5818.0,5327.0,244.0,2730.0,5943.0,0.0,6599.0,1199.0,105.0,18.0,16.0,176.0,147.0,19.0,163.0,5.0,179.0,152.0,5994.0,658.0,1151.0,880.0,6577.0,1650.0,2224.0,6836.0,740.0,9458.0,1.0,0.0,68564.0,85358.0,907633.0,156392.0,36261.0,84979.0,30681.0,278492.0,137793.0,89279.0,1200342.0,7782.0,2749.0,7831.0,6207.0,6990.0,4908.0,8167.0,6936.0,7339.0,10658.0,6663.0,4736.0,8729.0,7893.0,6863.0,4747.0,7746.0,6614.0,7574.0,7257.0,2.0,1.0,1278.0,0.0,862.0,0.0,168.0,528.0,0.0,100.0,0.0,0.0,10.0,16.0,4.0,8.0,9.0,86.0,5.0,2.0,8.0,6.0,100.0,8515.0,4904.0,8967.0,11151.0,7607.0,5966.0,9587.0,7201.0,10163.0,7414.0,1.0,0.0,48.0,6,14,30,30,127,132,14,6,56,54,14628,15831,463,517,16252,19916,1253829,621603,33718,35849,34895,33927,2836,100,117,37,19,6,42206,39269
8,8.0,9.0,4.0,2.0,5.0,11.0,5.0,2.0,4.0,4.0,1.0,0.0,813.0,125.0,243.0,146.0,317.0,238.0,670.0,574.0,84.0,611.0,5.0,5.0,2.0,8.0,4.0,1.0,6.0,6.0,4.0,5.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,106.0,12.0,8.0,3.0,8.0,98.0,0.0,0.0,0.0,2.0,7.0,7.0,7.0,3.0,6.0,4.0,3.0,5.0,12.0,10.0,12.0,13.0,11.0,11.0,12.0,11.0,11.0,11.0,10938.0,3262.0,523.0,3059.0,658.0,11341.0,339.0,1456.0,5035.0,2899.0,99.0,6.0,32.0,128.0,129.0,36.0,147.0,32.0,111.0,138.0,2141.0,914.0,10845.0,7420.0,8028.0,774.0,14906.0,7813.0,599.0,8783.0,0.0,0.0,555959.0,27909.0,352117.0,52497.0,90721.0,122485.0,114930.0,211709.0,209367.0,0.0,1200326.0,13080.0,4540.0,11917.0,10837.0,8686.0,12115.0,16679.0,10019.0,5635.0,11682.0,7063.0,5665.0,8683.0,9296.0,9377.0,7098.0,9054.0,8099.0,6374.0,8636.0,2.0,4.0,0.0,364.0,548.0,358.0,0.0,0.0,1433.0,749.0,0.0,0.0,9.0,25.0,9.0,6.0,35.0,23.0,8.0,2.0,10.0,7.0,100.0,9366.0,6709.0,9370.0,10331.0,8339.0,8154.0,9929.0,8558.0,8448.0,8153.0,1.0,2.0,6.0,20,26,30,30,133,106,26,20,59,55,26519,12991,424,434,29208,33015,1173779,563915,56635,48555,41517,37828,906,2546,82,52,30,24,45560,41797
9,2.0,14.0,8.0,8.0,4.0,4.0,3.0,11.0,2.0,5.0,0.0,1.0,81.0,10.0,173.0,115.0,354.0,1062.0,1329.0,1220.0,1392.0,972.0,6.0,2.0,4.0,5.0,6.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,87.0,0.0,0.0,3.0,0.0,142.0,7.0,8.0,0.0,2.0,4.0,0.0,2.0,9.0,7.0,7.0,5.0,4.0,11.0,10.0,11.0,9.0,10.0,12.0,12.0,13.0,12.0,11.0,444.0,2291.0,6195.0,3006.0,0.0,11609.0,49.0,15217.0,527.0,0.0,123.0,32.0,9.0,24.0,119.0,147.0,122.0,24.0,118.0,126.0,5210.0,1063.0,523.0,934.0,8298.0,1839.0,11023.0,351.0,6937.0,8027.0,0.0,0.0,55686.0,179440.0,297657.0,30551.0,48455.0,31710.0,191249.0,141856.0,19782.0,9247.0,1200291.0,6907.0,3354.0,7613.0,4528.0,8364.0,13449.0,13855.0,16185.0,7768.0,9409.0,7189.0,5385.0,6963.0,4400.0,6764.0,10587.0,9374.0,10495.0,7827.0,7672.0,7.0,2.0,1252.0,0.0,894.0,588.0,66.0,0.0,2782.0,615.0,304.0,1381.0,9.0,12.0,3.0,27.0,7.0,4.0,7.0,5.0,6.0,9.0,200.0,8497.0,6914.0,8037.0,5539.0,6559.0,9661.0,9847.0,11176.0,8990.0,7578.0,1.0,1.0,0.0,24,17,30,30,94,157,17,24,53,58,21254,18084,422,422,16804,27401,464059,541574,40861,50571,35903,40753,2800,5082,50,39,26,35,38293,44505
