,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team100,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team200,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,inhibs_lost_team200,killsplayer_5,riftherald_team100,riftherald_team300,towers_lost_team200,ward_player_0,baron_team100,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,3.0,9.0,4.0,4.0,6.0,6.0,5.0,4.0,5.0,4.0,1.0,1082.0,653.0,156.0,237.0,197.0,123.0,1376.0,282.0,921.0,1848.0,9.0,2.0,6.0,6.0,5.0,7.0,7.0,3.0,5.0,3.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,92.0,0.0,8.0,0.0,2.0,92.0,20.0,12.0,1.0,6.0,1.0,3.0,7.0,3.0,9.0,12.0,5.0,6.0,12.0,10.0,11.0,12.0,10.0,9.0,12.0,13.0,13.0,11.0,568.0,5254.0,3743.0,1466.0,227.0,5908.0,890.0,774.0,10753.0,449.0,111.0,5.0,24.0,108.0,104.0,20.0,89.0,34.0,114.0,127.0,15574.0,431.0,547.0,11002.0,4286.0,603.0,14911.0,12557.0,80.0,7407.0,1.0,124451.0,113859.0,172552.0,0.0,60632.0,153468.0,90797.0,341071.0,126667.0,121530.0,1200313.0,16142.0,6222.0,5968.0,13868.0,4633.0,6511.0,16728.0,14334.0,10834.0,8472.0,7432.0,6078.0,6531.0,9277.0,6822.0,4773.0,9226.0,11407.0,8706.0,8723.0,11.0,0.0,536.0,1676.0,1399.0,120.0,0.0,926.0,1003.0,0.0,616.0,9.0,31.0,3.0,60.0,48.0,33.0,7.0,7.0,11.0,12.0,200.0,9658.0,6199.0,8141.0,9227.0,6364.0,6044.0,9271.0,11283.0,10107.0,7991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,20,30,30,100,126,19,33,54,59,11912,18120,367,369,32012,35386,511103,793924,47122,56590,34835,44140,3195,3081,153,68,23,27,39434,44851
1,0.0,3.0,6.0,2.0,7.0,9.0,2.0,2.0,2.0,4.0,0.0,194.0,237.0,878.0,425.0,1410.0,319.0,581.0,501.0,401.0,1180.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,6.0,4.0,7.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,122.0,0.0,8.0,0.0,8.0,80.0,0.0,4.0,0.0,4.0,1.0,7.0,4.0,9.0,3.0,4.0,2.0,1.0,13.0,11.0,12.0,13.0,11.0,9.0,12.0,10.0,12.0,9.0,1093.0,8456.0,9116.0,10004.0,3725.0,1958.0,0.0,687.0,5952.0,4802.0,176.0,141.0,24.0,143.0,137.0,27.0,114.0,2.0,128.0,26.0,3460.0,114.0,2194.0,93.0,8368.0,1549.0,4880.0,3388.0,299.0,309.0,0.0,18105.0,106777.0,219165.0,93115.0,0.0,52873.0,14106.0,105498.0,50225.0,135590.0,1200321.0,4554.0,8571.0,12095.0,10420.0,12209.0,4108.0,6814.0,4339.0,6252.0,5111.0,8394.0,6662.0,9263.0,8070.0,9479.0,5069.0,7656.0,7126.0,6946.0,5255.0,1.0,0.0,0.0,784.0,323.0,114.0,600.0,1934.0,264.0,0.0,0.0,6.0,8.0,3.0,9.0,5.0,22.0,14.0,9.0,10.0,16.0,100.0,10210.0,8180.0,9879.0,10441.0,8225.0,5971.0,9472.0,6624.0,9425.0,5933.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,11,25,30,30,130,98,25,11,58,54,25896,19897,507,411,15664,8990,383258,412196,43386,31087,40275,33645,1821,2198,45,57,24,13,44726,39634
2,2.0,8.0,4.0,0.0,4.0,5.0,3.0,3.0,3.0,4.0,0.0,791.0,747.0,379.0,596.0,306.0,306.0,835.0,1408.0,798.0,842.0,3.0,1.0,5.0,3.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,4.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,3.0,13.0,4.0,90.0,0.0,8.0,0.0,4.0,115.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,2.0,8.0,4.0,0.0,12.0,9.0,10.0,12.0,10.0,8.0,11.0,12.0,12.0,9.0,2531.0,3222.0,3403.0,8988.0,643.0,1983.0,9329.0,0.0,823.0,1953.0,118.0,1.0,7.0,127.0,127.0,19.0,105.0,60.0,149.0,37.0,5311.0,341.0,1018.0,1276.0,4660.0,1114.0,3727.0,11116.0,10037.0,305.0,0.0,501424.0,24144.0,262772.0,21043.0,29855.0,54002.0,222024.0,270740.0,72924.0,147566.0,1200457.0,7843.0,3889.0,4617.0,10264.0,5804.0,3319.0,13476.0,12576.0,11298.0,2259.0,7241.0,5457.0,5694.0,8381.0,6656.0,4786.0,6790.0,9873.0,8008.0,5392.0,9.0,0.0,326.0,196.0,0.0,500.0,222.0,420.0,1460.0,438.0,0.0,6.0,19.0,8.0,5.0,9.0,31.0,60.0,4.0,4.0,21.0,200.0,9653.0,5322.0,6713.0,9334.0,7012.0,4257.0,8127.0,9623.0,9684.0,5272.0,0.0,1.0,1.0,1.0,3.0,14.0,0.0,15,10,30,60,111,123,10,15,52,53,17548,15327,398,352,13379,25526,869096,737398,31847,43498,32758,35520,918,2644,59,108,15,21,36969,38028
3,0.0,3.0,0.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,0.0,417.0,307.0,58.0,33.0,467.0,88.0,361.0,1134.0,108.0,1137.0,6.0,4.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.20.400.7328,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,120.0,0.0,0.0,0.0,4.0,133.0,2.0,4.0,0.0,2.0,0.0,3.0,3.0,1.0,8.0,3.0,8.0,1.0,11.0,10.0,11.0,12.0,10.0,9.0,13.0,13.0,13.0,11.0,900.0,1740.0,6100.0,9969.0,3156.0,3023.0,1050.0,0.0,6117.0,1666.0,111.0,26.0,34.0,120.0,154.0,7.0,136.0,29.0,156.0,148.0,6606.0,659.0,910.0,1038.0,5301.0,356.0,8714.0,9661.0,1385.0,6419.0,1.0,106615.0,67106.0,147678.0,193928.0,0.0,117912.0,123458.0,246430.0,123457.0,792.0,1200282.0,11044.0,2944.0,7761.0,11007.0,8774.0,3380.0,14420.0,10854.0,7901.0,8085.0,5832.0,4712.0,6963.0,7543.0,6542.0,4238.0,9451.0,8534.0,9603.0,6737.0,6.0,3537.0,544.0,750.0,0.0,316.0,0.0,4655.0,1193.0,398.0,0.0,8.0,19.0,3.0,7.0,8.0,15.0,4.0,4.0,10.0,8.0,200.0,7881.0,6537.0,8538.0,9308.0,6314.0,5861.0,10437.0,11042.0,10400.0,8217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,9,30,30,120,147,9,20,53,60,23148,10573,426,495,14211,26838,566133,561243,41966,44204,31118,39037,4603,6790,41,45,5,15,37902,46633
4,3.0,6.0,5.0,3.0,3.0,16.0,0.0,3.0,0.0,3.0,0.0,599.0,743.0,908.0,166.0,251.0,512.0,1131.0,908.0,224.0,705.0,2.0,6.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,85.0,0.0,8.0,0.0,0.0,96.0,22.0,8.0,0.0,5.0,1.0,10.0,1.0,5.0,4.0,2.0,0.0,3.0,13.0,10.0,12.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,2088.0,3888.0,1263.0,6276.0,2667.0,5946.0,7014.0,5727.0,1169.0,124.0,168.0,5.0,35.0,134.0,125.0,4.0,135.0,13.0,132.0,134.0,6128.0,1780.0,12023.0,429.0,8729.0,1043.0,2109.0,372.0,4924.0,6573.0,0.0,31321.0,17090.0,207708.0,290387.0,0.0,41323.0,117696.0,495529.0,33922.0,19981.0,1200376.0,8534.0,5669.0,14950.0,7064.0,11732.0,7867.0,9762.0,6592.0,6094.0,8365.0,8424.0,5153.0,9408.0,6676.0,7534.0,5986.0,7376.0,7133.0,6099.0,7505.0,1.0,317.0,0.0,1663.0,357.0,334.0,877.0,638.0,492.0,0.0,1666.0,5.0,25.0,5.0,12.0,6.0,22.0,47.0,5.0,9.0,9.0,100.0,10311.0,6517.0,8786.0,8861.0,6856.0,6327.0,9410.0,7492.0,7997.0,6920.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,10,22,30,30,97,130,22,10,57,54,18240,17922,466,419,28352,15758,570739,684218,50147,36482,38028,33266,3548,2796,50,95,30,12,41141,38336
5,2.0,6.0,5.0,4.0,3.0,5.0,1.0,3.0,3.0,5.0,0.0,35.0,168.0,351.0,240.0,339.0,165.0,1024.0,298.0,222.0,402.0,3.0,4.0,5.0,5.0,3.0,4.0,8.0,6.0,7.0,3.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,109.0,0.0,8.0,0.0,7.0,82.0,0.0,0.0,0.0,11.0,1.0,7.0,4.0,4.0,5.0,10.0,4.0,0.0,14.0,9.0,12.0,12.0,11.0,9.0,13.0,11.0,12.0,12.0,4433.0,4675.0,833.0,622.0,433.0,2854.0,2367.0,1837.0,1006.0,7794.0,199.0,18.0,13.0,120.0,131.0,33.0,135.0,11.0,134.0,166.0,10382.0,918.0,14778.0,7224.0,7683.0,746.0,8583.0,9474.0,9220.0,90.0,0.0,101877.0,33156.0,180857.0,197604.0,48855.0,60415.0,104642.0,373201.0,30033.0,134065.0,1200465.0,14896.0,6155.0,16113.0,7895.0,8156.0,3988.0,12128.0,11778.0,11198.0,7885.0,14064.0,5118.0,8991.0,7715.0,8039.0,5425.0,8613.0,9112.0,7807.0,6952.0,2.0,80.0,562.0,501.0,48.0,40.0,386.0,1177.0,466.0,971.0,0.0,7.0,33.0,5.0,9.0,9.0,22.0,7.0,14.0,9.0,10.0,100.0,12760.0,5481.0,9705.0,9288.0,7758.0,5764.0,10179.0,8036.0,9773.0,9001.0,2.0,2.0,2.0,0.0,10.0,0.0,1.0,20,28,30,30,125,89,28,20,58,57,9175,17679,496,464,40813,28285,589608,675097,51048,49144,44234,37602,1055,3176,52,73,19,18,45275,42470
6,5.0,2.0,2.0,4.0,3.0,1.0,7.0,6.0,4.0,7.0,0.0,504.0,883.0,458.0,438.0,132.0,313.0,680.0,553.0,2056.0,1655.0,3.0,2.0,5.0,5.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,1.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,4.0,0.0,8.0,0.0,90.0,9.0,0.0,0.0,2.0,4.0,1.0,4.0,2.0,5.0,7.0,5.0,10.0,12.0,12.0,9.0,13.0,10.0,13.0,11.0,12.0,11.0,5386.0,722.0,411.0,1066.0,5556.0,672.0,9483.0,7288.0,8925.0,265.0,126.0,119.0,35.0,32.0,161.0,101.0,138.0,41.0,12.0,128.0,851.0,4504.0,6845.0,574.0,1009.0,5875.0,937.0,1686.0,1316.0,6486.0,2.0,110948.0,150269.0,555394.0,19392.0,152414.0,59425.0,238880.0,254400.0,85977.0,125149.0,1200393.0,6433.0,5226.0,7588.0,2214.0,6565.0,8643.0,10421.0,9893.0,11719.0,7469.0,5879.0,8058.0,7473.0,4758.0,8427.0,4796.0,7755.0,7578.0,8181.0,7955.0,5.0,196.0,0.0,332.0,574.0,0.0,2095.0,0.0,918.0,1477.0,717.0,10.0,5.0,2.0,13.0,10.0,2.0,7.0,58.0,3.0,6.0,200.0,7046.0,9456.0,8648.0,5756.0,10278.0,7282.0,9999.0,8104.0,9344.0,7455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,9,30,30,98,107,9,21,54,59,13091,26683,455,438,15154,14929,897573,854675,31443,44728,31333,39527,3197,3112,37,79,15,26,39010,44358
7,2.0,10.0,2.0,3.0,2.0,6.0,6.0,2.0,6.0,3.0,2.0,726.0,339.0,727.0,394.0,175.0,225.0,253.0,1250.0,609.0,638.0,5.0,0.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,0.0,4.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0,11.0,10.0,11.0,13.0,11.0,10.0,12.0,12.0,12.0,11.0,556.0,1690.0,3862.0,7139.0,32.0,5409.0,413.0,5538.0,5293.0,1265.0,109.0,40.0,13.0,155.0,157.0,3.0,116.0,12.0,139.0,144.0,7834.0,1112.0,232.0,1051.0,6232.0,631.0,8620.0,532.0,1137.0,4623.0,1.0,76784.0,34346.0,288578.0,477032.0,136651.0,33127.0,152781.0,472830.0,71812.0,17536.0,1200311.0,11474.0,3346.0,4634.0,8860.0,7561.0,6530.0,9613.0,6358.0,8273.0,6587.0,7601.0,5124.0,7652.0,7019.0,8135.0,4725.0,7193.0,7640.0,6869.0,8013.0,7.0,3084.0,544.0,540.0,670.0,1296.0,490.0,579.0,288.0,1842.0,698.0,12.0,26.0,2.0,10.0,11.0,26.0,11.0,9.0,53.0,10.0,200.0,7869.0,6567.0,8157.0,10426.0,7828.0,6189.0,8974.0,9765.0,9419.0,8459.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,14,13,30,30,114,140,13,14,56,57,16998,14199,437,451,15980,16024,1012172,749305,39059,34177,35132,34839,6080,3951,61,109,15,27,40469,43184
8,4.0,9.0,8.0,1.0,4.0,7.0,5.0,6.0,3.0,4.0,1.0,351.0,105.0,750.0,876.0,322.0,908.0,609.0,165.0,1577.0,791.0,3.0,5.0,7.0,7.0,7.0,8.0,1.0,4.0,5.0,4.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,99.0,8.0,101.0,12.0,20.0,0.0,1.0,4.0,1.0,8.0,4.0,7.0,11.0,9.0,1.0,11.0,10.0,9.0,12.0,10.0,11.0,14.0,12.0,13.0,11.0,1771.0,7604.0,3180.0,1350.0,686.0,12901.0,11976.0,7.0,493.0,2251.0,131.0,19.0,26.0,92.0,125.0,22.0,167.0,28.0,134.0,115.0,5006.0,646.0,1771.0,10825.0,10567.0,1008.0,772.0,12847.0,13563.0,3568.0,2.0,161255.0,122480.0,153628.0,26653.0,48870.0,208857.0,56410.0,454835.0,89839.0,95525.0,1200387.0,7748.0,9255.0,5583.0,12903.0,11333.0,14951.0,12749.0,16187.0,15299.0,6307.0,6701.0,6930.0,4810.0,7606.0,8222.0,7758.0,9834.0,10970.0,10402.0,7141.0,11.0,970.0,1004.0,632.0,726.0,80.0,1041.0,0.0,3332.0,1242.0,487.0,9.0,19.0,16.0,8.0,10.0,3.0,12.0,5.0,7.0,9.0,200.0,8343.0,6864.0,5571.0,8605.0,6706.0,8270.0,11454.0,9726.0,10686.0,7816.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,32,19,30,30,102,141,19,32,53,60,19888,22331,396,463,29177,31396,599263,819089,52518,59797,35097,45277,3449,6065,46,52,24,27,37495,46546
9,4.0,2.0,6.0,8.0,5.0,9.0,0.0,3.0,4.0,2.0,0.0,-196.0,658.0,250.0,389.0,343.0,320.0,288.0,247.0,1017.0,1085.0,2.0,5.0,1.0,6.0,0.0,0.0,7.0,3.0,5.0,5.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,92.0,14.0,1.0,0.0,4.0,94.0,8.0,0.0,1.0,4.0,0.0,6.0,6.0,4.0,0.0,4.0,3.0,1.0,14.0,9.0,12.0,12.0,12.0,10.0,12.0,11.0,12.0,11.0,1261.0,2116.0,938.0,9315.0,523.0,188.0,3951.0,861.0,6000.0,516.0,176.0,11.0,33.0,113.0,151.0,7.0,139.0,6.0,127.0,175.0,9195.0,352.0,5199.0,1739.0,8533.0,6624.0,1415.0,5187.0,580.0,4392.0,0.0,183690.0,83250.0,284720.0,384202.0,560698.0,46265.0,549713.0,115187.0,103161.0,114626.0,1200203.0,15154.0,2719.0,6447.0,11574.0,9287.0,6813.0,5367.0,6628.0,6580.0,4908.0,9914.0,4043.0,8970.0,8884.0,8218.0,7370.0,5668.0,7447.0,7852.0,7135.0,0.0,4697.0,250.0,309.0,519.0,230.0,0.0,0.0,579.0,0.0,0.0,7.0,18.0,13.0,8.0,10.0,21.0,7.0,2.0,8.0,28.0,100.0,11613.0,6074.0,9124.0,8655.0,8886.0,6806.0,8826.0,7412.0,9476.0,7528.0,2.0,5.0,2.0,0.0,10.0,5.0,1.0,9,25,30,30,115,106,25,8,60,55,12225,13444,480,458,31290,11926,1459575,965937,49275,26202,43356,32145,5755,829,59,63,32,11,45084,39316
