id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
KvUgoHLmOVPnXdsP517m58CBr2Ith31ShYiyYmIZjNctvDk,lg1gtBbCXe4xvR0xBKVCoddJ3rZC6P6nFmlXIcNj5o6k7fQ,dSHo7Fhvj8Z1qkV4bv1co7x08mQvaAItZp-CX35_Q_-5b889NPibIk0HjEjJRwgZsL0YsAfDttAMsw,rjsdndgod,15.0,1635834821000.0,461.0
aGAnBRVpnMW3U4ezkv6ILnKPDUnLLQaM9f0hoGlLHCQeDQA,t9kzeeW-s-1jIosJNYEbE3mNqsXYDBgelOspNII2KuDC4Co,0m3WQi3UlRYlQRkRzhaKbzfswYZDmk6T8sLWgH4cSokxxcou0tDR4Ce_zZeTqRLGWu15Jqhiy6-3rA,SHERN,23.0,1636763677000.0,177.0
sxr6yqdT9f4oIvqyvf4-zH5bWEk46Fs8l86iQO-Wcg8i4kg,jYSjUfu_Lu0n-MfwDGfVRJ0cnvyxXU0iZuPGjRzLPS3ub7Q,y4i8sFm803Wrf9JUWrmnFUzGizVN9b3gvyGEMLt9E_0Nvt-cjnadfZ2FsLiAwx0xP50YafZ1AEBOwg,Wackaroni,4152.0,1636692025000.0,409.0
mKnZvP8d8K-PS4ah9VZs69RqFn7pR8cyXxKNHIExsBef8U8,Xk-it0-8kMECKTC8-pjtfmSDDPk9IULNN7NImX12y1_qlg,qiR8pJGw1n4-_Q0MG3rPcFJ6Fb2cpg4OHbS-1eAtvowYLFzjDC8ppbAgMqOaWYj3x72QzxPUnd13aA,Ethiridis,4658.0,1636960533494.0,480.0
GEIA1YqOPhRbWDAmLPtwCuTzy8NxWik3aGVcfm3cITSBxrA,Y0zxjU1605nh1oGCExyxLUsqoHgxzTKQVsmux8R37_7c5hQ,bRPSj3s8OXMVl_ifD-YzwYCZ-6AgivnbQSi3_jQfIUnYGQGu4SUvBafOiObYJCIqTkokapMJ_htCmg,sKILLSHOTz FIRED,1427.0,1636878563000.0,248.0
xhaS3zIUrz7sb_zcRT_o7vU8B0XE1oNYRakRRc2qy96GETg,tUMsvaBFBAD1oCGSV85T0kczHvipHV5LApUge09TLy6SFMU,jWdrN5VcgoYZuXEBUdc6ZSirg9O2yllHesuMVPHqsj3q2YmSMOpZBYr7c6Afy2CvBLXDYE2qUbkitQ,Your Glory,4357.0,1636978575027.0,422.0
d17xvHSJnAuFZDHJA1t_pHCcHM-tvzVQzbf5ZHIl3wjAI3g,LGom26Eofnuf_TeRCDXFXr3CLY6lV0-MitMyKtwyyY-YRFs,jta0hhPVf91gemYxGbsabcOmPxLX_l1JPkXdSnkzb7Bfpg6NGOc3KsCmVsogRjg5tdejNvJyfo0fPg,Just1,4832.0,1636681450180.0,551.0
BG8iOlDb04zr5e2Hr1G1AncPGjFe6Mwk_6UPzmGRIetynfQ,XsdvRSLQtS7hV2LMLH8d-1aEbcPz-nSHEIEg0_C8eYjigQs,2cw17JnKlZggMzAVkjNAjuJC4tBFyKz-4esIKXOSS9is7M7GiluV-laPtXOZHc6CEwnKp8WXsEPlxw,US 101,4276.0,1636351480000.0,204.0
BNgtpepSfpze1nWEs2CaGQpKucnbeGJVM11U5j6ejCQdg1A,7_Qzp68RJezngrB07xs4qwUq7r1K-mNqKfV4ioGnDr2831Y,8TVKfL6QfG0CXEcTnm7e72tXp3EhcR7hNzveSPo7-Ai0HKAqfVg1TBD9Z2hd6c5Bqdrl0yGRAr8Kjg,Diablow3251,7.0,1636909008000.0,527.0
TjFDUF_BnXU8YO1mOGpKHvAwPIITzGOxHrihHHnQH1cTlQk,jA0nfOi3SEerWtZ7_ad193M5AtzAzTy41N-aoggpy_f6CG4,Jfqr27i44zvKaKMGpY9n_yaw4x246BPNm7H202Yyo5PTIAxxXoDrTQbj1CBIbihPSeZOjboofTWpYw,Candice,3155.0,1637007935238.0,152.0
Et9egeYU9dbGqsW66szNRPPboVmmHAQSpIF0B97hCncJUWU,iwdSXGJXnoiAGe9fm5BoTHKatGgnmlD-y4YVblGKsR8Xt4A,FMgioLyfVJW4syQs-5PeyGkPtei9c8-Av6KZ4MNobIbNY4NamEJ_Bg07pGuno2Up3fpJO4TYdJpUxg,KKY,5091.0,1636704589000.0,121.0
hYq31FS9vsgtBd6vUCRgRObwex11qOfR9wUwf13n67aa5V4jwG9XDOkCDw,bCsvjs9EdExsLNnI5435UtUXpT7AJawbPcgyCQRbn2wvhKWCzkW-Mnqk,qn5lYQGd23Lq9mjgZT60KcIBZSPZcn5EwlGZF-jxusv7fweFnKru8UATShq_Dw8grsiBoJY1DYztBg,MajesticPony17,22.0,1636515279000.0,81.0
I-V_R4ZTNtGWMi7dt7pVfA1yHG0mZhceIFb_Kc26df6-d-Q,9GCSqy6V_l1oc-TjM43_VpSij036R_IoIGAklCXndVZ8NKQ,WmB2SztsdHEPzGyJGav1LY1YNwVAUOArs-1Qyw1YwUdRg2sVZN0XqyPlQAc5cEK3ju-qXj3zyJbWpA,goidwolfer fan,3151.0,1636771430000.0,276.0
7Vt6Mc9XXApkUzjThJ7kNzclyYAQpWNdUZ9gjzHskq915cRT,UkBOm1ApLfwDszPbd4UceLFdV5wvTiDc-HLdzflfDYqaRwRUVw67wZJr,8baLTN-l9gWy0oR9udmB15PciNdtNNHZeotlyMTfBhDEncyELBxYq73Q8RU2Pi7RDSHG7QVa1SA5MQ,Truth Dragon,5091.0,1636935139930.0,95.0
Dv30yhxS0URMIx_BluswH-xK5sHVVmg8ORZk4UOBI04VU3o,ikHnK87hA2-L-TXMFqOYyOpKp4sgF9azj8M62UIRoWQpfQ,Wl112DDI2HyzAYtb3W29F8qPiaeWo99gQPHX3-BBTeaPOMAieaYNZ2As-gtqRlA-BKIZCzLuSvCW-w,thickhunnieshmu,3159.0,1636524319000.0,312.0
FIGEOemyvU-3GcNndw81KCKWGFtqGiL1OsOE79w7sF3Z6ys,M9jw1XuU2YnOYHAqw4D_2hYH3g3WUPl93Wg284QnIU0fsdY,Fa2lkcnRvcmHWYmaDKc8rycP4h5XLKPSHFfoNAprlgDNhM9KQE6M7QGILPRKoxtaG2wc9KxkAbfrHw,UnIess,4149.0,1636264196000.0,339.0
