,0
0,NA1_4105161570
1,NA1_4102755048
2,NA1_4102698148
3,NA1_4102111080
4,NA1_4100394991
5,NA1_4100318158
6,NA1_4100320175
7,NA1_4099830482
8,NA1_4098755304
9,NA1_4098737422
10,NA1_4098742051
11,NA1_4098623140
12,NA1_4098608600
13,NA1_4098575608
14,NA1_4098098411
15,NA1_4098101532
16,NA1_4097436607
17,NA1_4097423346
18,NA1_4097059192
19,NA1_4097062976
20,NA1_4096947088
21,NA1_4096931143
22,NA1_4096863992
23,NA1_4096797996
24,NA1_4096831866
25,NA1_4096167379
26,NA1_4095668393
27,NA1_4095495598
28,NA1_4094999431
29,NA1_4095033671
30,NA1_4095010828
31,NA1_4094916229
32,NA1_4094919771
33,NA1_4094844989
34,NA1_4094769191
35,NA1_4094823509
36,NA1_4092934698
37,NA1_4092848057
38,NA1_4092600266
39,NA1_4092557286
40,NA1_4092580567
41,NA1_4092166027
42,NA1_4092135340
43,NA1_4091820664
44,NA1_4091797560
45,NA1_4091677486
46,NA1_4091661151
47,NA1_4091604599
48,NA1_4091474975
49,NA1_4091510401
50,NA1_4091434839
51,NA1_4091460858
52,NA1_4091379056
53,NA1_4091328792
54,NA1_4091296564
55,NA1_4091069275
56,NA1_4091117526
57,NA1_4090654615
58,NA1_4090525086
59,NA1_4090500649
60,NA1_4090218905
61,NA1_4089658531
62,NA1_4089637182
63,NA1_4089596747
64,NA1_4089584122
65,NA1_4089286411
66,NA1_4089283914
67,NA1_4089012576
68,NA1_4088792961
69,NA1_4088766914
70,NA1_4088774623
71,NA1_4088699671
72,NA1_4088679813
73,NA1_4088596741
74,NA1_4088559732
75,NA1_4088573581
76,NA1_4088464192
77,NA1_4088436352
78,NA1_4087942669
79,NA1_4087858194
80,NA1_4087716854
81,NA1_4087722686
82,NA1_4087657612
83,NA1_4087623414
84,NA1_4087558546
85,NA1_4087536510
86,NA1_4087550661
87,NA1_4087466190
88,NA1_4086821521
89,NA1_4086696447
90,NA1_4086667030
91,NA1_4086662377
92,NA1_4086526471
93,NA1_4086503057
94,NA1_4086479846
95,NA1_4086415377
96,NA1_4086411318
97,NA1_4086367103
98,NA1_4086391786
99,NA1_4085677326
100,NA1_4104430484
101,NA1_4104416561
102,NA1_4104404255
103,NA1_4102029508
104,NA1_4096017482
105,NA1_4095479092
106,NA1_4095471585
107,NA1_4095135230
108,NA1_4090895949
109,NA1_4090808821
110,NA1_4090773402
111,NA1_4090768899
112,NA1_4089556790
113,NA1_4089274592
114,NA1_4089231965
115,NA1_4089158110
116,NA1_4089174122
117,NA1_4086410675
118,NA1_4083749844
119,NA1_4083733936
120,NA1_4082116440
121,NA1_4082091625
122,NA1_4082034911
123,NA1_4078702803
124,NA1_4078048994
125,NA1_4078053433
126,NA1_4077966496
127,NA1_4075952397
128,NA1_4075919745
129,NA1_4075835613
130,NA1_4075830525
131,NA1_4075805436
132,NA1_4071841756
133,NA1_4071365288
134,NA1_4069949925
135,NA1_4069924228
136,NA1_4069144697
137,NA1_4069120949
138,NA1_4066131123
139,NA1_4065769790
140,NA1_4065684447
141,NA1_4065656548
142,NA1_4065161672
143,NA1_4065077888
144,NA1_4065053594
145,NA1_4065060068
146,NA1_4065006034
147,NA1_4063995126
148,NA1_4062016702
149,NA1_4062011078
150,NA1_4061936186
151,NA1_4061951382
152,NA1_4061886096
153,NA1_4061881157
154,NA1_4061755944
155,NA1_4061727735
156,NA1_4061723931
157,NA1_4061317478
158,NA1_4061322354
159,NA1_4061257004
160,NA1_4061205178
161,NA1_4061168511
162,NA1_4061164354
163,NA1_4061117117
164,NA1_4061063072
165,NA1_4060209366
166,NA1_4060156291
167,NA1_4059175478
168,NA1_4059229782
169,NA1_4059145933
170,NA1_4059151697
171,NA1_4059078451
172,NA1_4059090678
173,NA1_4058986753
174,NA1_4058972666
175,NA1_4058906519
176,NA1_4058931646
177,NA1_4055083037
178,NA1_4054127563
179,NA1_4054071948
180,NA1_4050373319
181,NA1_4049853746
182,NA1_4049821282
183,NA1_4049798420
184,NA1_4049744426
185,NA1_4049791543
186,NA1_4038867270
187,NA1_4038850395
188,NA1_4036954000
189,NA1_4036607807
190,NA1_4036590137
191,NA1_4036544577
192,NA1_4036468723
193,NA1_4035778078
194,NA1_4022034005
195,NA1_4022015126
196,NA1_4021919421
197,NA1_4021421013
198,NA1_4021399856
199,NA1_4021357810
200,NA1_4105183630
201,NA1_4103856273
202,NA1_4102928779
203,NA1_4101003927
204,NA1_4100406435
205,NA1_4099202900
206,NA1_4097829312
207,NA1_4096898696
208,NA1_4094530677
209,NA1_4090988090
210,NA1_4091045085
211,NA1_4083247995
212,NA1_4080891513
213,NA1_4080137104
214,NA1_4080098918
215,NA1_4080075246
216,NA1_4079939046
217,NA1_4079793949
218,NA1_4079727232
219,NA1_4079722296
220,NA1_4079096657
221,NA1_4079082184
222,NA1_4078896517
223,NA1_4078238973
224,NA1_4078275859
225,NA1_4078252976
226,NA1_4076685154
227,NA1_4076684891
228,NA1_4076734449
229,NA1_4077735473
230,NA1_4077371814
231,NA1_4076952937
232,NA1_4076179599
233,NA1_4076166163
234,NA1_4076200606
235,NA1_4076125516
236,NA1_4076119838
237,NA1_4075621426
238,NA1_4075242608
239,NA1_4075159022
240,NA1_4075131666
241,NA1_4071423747
242,NA1_4071049865
243,NA1_4070479029
244,NA1_4070455063
245,NA1_4070441436
246,NA1_4070396361
247,NA1_4070231996
248,NA1_4070179375
249,NA1_4070196282
250,NA1_4069666115
251,NA1_4065083409
252,NA1_4063270632
253,NA1_4061822844
254,NA1_4060570221
255,NA1_4060556575
256,NA1_4060544782
257,NA1_4058187456
258,NA1_4055660962
259,NA1_4055559287
260,NA1_4053862597
261,NA1_4053004323
262,NA1_4052472663
263,NA1_4052238280
264,NA1_4051944005
265,NA1_4050622013
266,NA1_4050290482
267,NA1_4050244241
268,NA1_4049173293
269,NA1_4049106578
270,NA1_4048468164
271,NA1_4046451125
272,NA1_4045425892
273,NA1_4044242183
274,NA1_4044158639
275,NA1_4043347114
276,NA1_4042953302
277,NA1_4042899692
278,NA1_4041799039
279,NA1_4041755122
280,NA1_4041770248
281,NA1_4041743405
282,NA1_4040956248
283,NA1_4040165200
284,NA1_4040128967
285,NA1_4040116995
286,NA1_4040121219
287,NA1_4040026050
288,NA1_4039336388
289,NA1_4038830684
290,NA1_4038724242
291,NA1_4038382261
292,NA1_4035876105
293,NA1_4035113406
294,NA1_4035085977
295,NA1_4035060537
296,NA1_4035023140
297,NA1_4032557389
298,NA1_4032525365
299,NA1_4030950205
300,NA1_4103233961
301,NA1_4103169273
302,NA1_4103185452
303,NA1_4103213549
304,NA1_4103163511
305,NA1_4103161755
306,NA1_4103160229
307,NA1_4103126743
308,NA1_4103153140
309,NA1_4103091167
310,NA1_4103029050
311,NA1_4103033774
312,NA1_4102967924
313,NA1_4102952689
314,NA1_4102895055
315,NA1_4102867103
316,NA1_4102820212
317,NA1_4102791854
318,NA1_4102672445
319,NA1_4102607541
320,NA1_4102598898
321,NA1_4102564473
322,NA1_4102397153
323,NA1_4101627834
324,NA1_4101639888
325,NA1_4101553674
326,NA1_4101541931
327,NA1_4101475592
328,NA1_4101461026
329,NA1_4101384241
330,NA1_4101336769
331,NA1_4101312368
332,NA1_4101203525
333,NA1_4101185545
334,NA1_4101171120
335,NA1_4101069066
336,NA1_4101083731
337,NA1_4101111871
338,NA1_4100993930
339,NA1_4100989804
340,NA1_4100276635
341,NA1_4100222165
342,NA1_4100204464
343,NA1_4100139558
344,NA1_4100101303
345,NA1_4099893938
346,NA1_4099761685
347,NA1_4099677550
348,NA1_4099723936
349,NA1_4099060747
350,NA1_4098995228
351,NA1_4098918613
352,NA1_4098940470
353,NA1_4098845133
354,NA1_4098789643
355,NA1_4098763560
356,NA1_4098738053
357,NA1_4098714184
358,NA1_4098620850
359,NA1_4098576953
360,NA1_4098592412
361,NA1_4097879197
362,NA1_4097489092
363,NA1_4097447095
364,NA1_4097482845
365,NA1_4097161182
366,NA1_4097075625
367,NA1_4097070305
368,NA1_4097046840
369,NA1_4097052103
370,NA1_4096944042
371,NA1_4096915196
372,NA1_4096833964
373,NA1_4096753689
374,NA1_4096705421
375,NA1_4096349548
376,NA1_4096392053
377,NA1_4096264827
378,NA1_4096217167
379,NA1_4096145692
380,NA1_4095704752
381,NA1_4095689749
382,NA1_4095612278
383,NA1_4095545692
384,NA1_4095589955
385,NA1_4095464632
386,NA1_4095437747
387,NA1_4095389268
388,NA1_4095364924
389,NA1_4095307365
390,NA1_4095197115
391,NA1_4094942479
392,NA1_4094766495
393,NA1_4094812674
394,NA1_4094810186
395,NA1_4094745562
396,NA1_4094194602
397,NA1_4093834432
398,NA1_4093779855
399,NA1_4093765583
400,NA1_4104795777
401,NA1_4104783121
402,NA1_4104765524
403,NA1_4104712204
404,NA1_4104664582
405,NA1_4104640339
406,NA1_4104601529
407,NA1_4104547273
408,NA1_4104544762
409,NA1_4104552434
410,NA1_4104420261
411,NA1_4104377492
412,NA1_4104374606
413,NA1_4104400994
414,NA1_4104068983
415,NA1_4104012231
416,NA1_4103962650
417,NA1_4103923524
418,NA1_4103736615
419,NA1_4103731242
420,NA1_4103715109
421,NA1_4103597729
422,NA1_4103590453
423,NA1_4103562829
424,NA1_4103488877
425,NA1_4103482395
426,NA1_4103426788
427,NA1_4102915161
428,NA1_4102880763
429,NA1_4102843552
430,NA1_4102797786
431,NA1_4101997249
432,NA1_4102003806
433,NA1_4101991356
434,NA1_4101471406
435,NA1_4101343730
436,NA1_4100983035
437,NA1_4100961400
438,NA1_4100898470
439,NA1_4100913416
440,NA1_4100869859
441,NA1_4100806414
442,NA1_4100422185
443,NA1_4100295762
444,NA1_4100249016
445,NA1_4100232907
446,NA1_4100171331
447,NA1_4100125229
448,NA1_4099984308
449,NA1_4099938649
450,NA1_4099883375
451,NA1_4099880137
452,NA1_4099817012
453,NA1_4099853164
454,NA1_4099783461
455,NA1_4099522827
456,NA1_4099469796
457,NA1_4099101657
458,NA1_4099052602
459,NA1_4099014515
460,NA1_4098970665
461,NA1_4098844071
462,NA1_4098047724
463,NA1_4098022872
464,NA1_4097953710
465,NA1_4097837006
466,NA1_4097546173
467,NA1_4097543036
468,NA1_4097449256
469,NA1_4097456936
470,NA1_4097471524
471,NA1_4097409081
472,NA1_4097357331
473,NA1_4097066216
474,NA1_4096707213
475,NA1_4096425044
476,NA1_4096268636
477,NA1_4096282140
478,NA1_4096178530
479,NA1_4096193770
480,NA1_4096130595
481,NA1_4096036125
482,NA1_4095979496
483,NA1_4096015160
484,NA1_4095383639
485,NA1_4095156688
486,NA1_4095121926
487,NA1_4095019040
488,NA1_4095002585
489,NA1_4094915188
490,NA1_4094959735
491,NA1_4094054225
492,NA1_4094001117
493,NA1_4093927587
494,NA1_4093858164
