,puuid,username
0,Y_G-HDtAOSCnXuxDPXXpQ0Ru0tK2JpXjtE76q4vMstrDsNwzCYyJY28BMjLd_gOBJuUb3glukUkMHg,Ahwii
1,kSCL8POe35X57ccDjj7yHb6YAjWdr4FiMU43bTCETbt7CBWqRNBfg6R3MxJB_aq8e-WPq9m1S2vHZQ,Blazze
2,BrJ1RuC0MrY7uHDNl4Z7wl7zmAACbnWWkZwKmirpNJBhu5E1LOkDTDXRoPOI1SgQLMEW2AjGaC3T4g,Prabhably
3,09KBIR6f2Cv3GHCMPTT62MzpFSMG-FagUG8OgdAlwuHIQ3qB8C97VdUam3jP-8KKwooFzX5CrJNECw,Dark Rose Vayne
4,6rpOB-opxtW39C6nuK5FwepEwfuyLd2A5SUKAFos-aUobIfKFBKMDiY33jH5hpBNICP0_hzyws7y-w,hyperton
5,TASmXKHzA5rG2520VvpMSNIM567na7ZW8SEXACC0Ek4SDDB8LjqpT_3knKUh2OJBqzatrRYQ6MYLig,Oner v2
6,luh__IJbMiLAW0KVMSTTLAcWvO7Vlh1qq94i0DuvTxaheEEyN2h8dsfiwvI77BnwKRYav9LCYnjOpw,Jqckpot
7,IE4crk3tafMT2sPzzj1sHBzHMD_AUfA-0w9S_ODeVnpBh8NMd_OBGeg1RAvXABcHyoz_WpfqtQNGjw,ConTraiCungCuaMe
8,ntJM2Vsp5fmPlS4mLZFcZ9WKtaTB7vyF5FyhnbKF-32yiVzrLaP8wRlGsEerSXAur_4nscShDCTSwQ,Dodge my Lantern
9,rgZSEeLa-JAmERzrBqk5zZfdq9qFgxXw2PBeLhXvSPgVsQzzIjoOYowLMsKyuJ-YLzyWXUNG1d0qfg,llllllllllllIIll
10,cNXMJdV-ehL2iXkiZYz4Sw-FpUiUb0KtH6ZPpFhewd8YP_YG_deSux2XVmY9k7oV-l0kQ9HgRpaymQ,CaiShiYuanZuiQAQ
11,juxMS0yqe_1HheyEnutlcYf1rGTQ6eKxf3trQ5_zamD33q568HLCYRV2UM0T94VOwo-QKDnJWDja4w,Smiling Devil
12,b7p5pgDcb0YTW5dEhiOJnd9PtSnzO0a3jVmAM6L1rPk18F9eacq2Yv1W-6xjhXGeSs655zu6E3R7KQ,RoseThorn
13,U9ZpMk7qC-B6unaO4wG7vzcjUHpj_dUfzhOE5laUbPhMB69SfaOmuRRKK2NlfiRehSkpHxuP0pYHRQ,SlayYourGame
14,8GqDZ6P8J3flyRFRj7PTy7hLdBM4_8OXeWmDeAqQfMR7VLSV4ewsLhh-WrfaYQZ_zZpuXnvc62jKoA,Spyy
15,1KFvpsjd_N6U2o4vp53eicseUlzDvl0G5QLCCGaC0O_wxZuYub3034Qnx97Qbizxs9cZd7VV9Ry6Jw,IlIlIIIlIlIlII
16,pSHZpAvNz9HkOuY6CWvS2weJbFtwmWkztEcid3nFZM0FD8SLj5kTMPubiAV4xVRl1TUslxh2RZlH3Q,WaIlDashin
17,ipNJzzLp-vxgCvJVM3LPiwmbiQZHFXgDzGHHm0NClF6rV7BlapxS16oGXTvJamO2v6eiiwTAdj88mA,Fiku
18,gEw8PD9OzUjUS_AlQm1aJ3HjdCUs2vNDbeOtV30M_uGDe4ZyGyLHjL0-4Hm3PgEjIN1mqM0LQIBEmA,Prototype white
19,NHDvUGI8Y4P2Y7UoWdbC0HRicQSMZxz8iMKkEeo3ry0PK5162uh2EI2bz0Iw2VnJ4Rov_jBUVXB7Fw,john nguyen suck
20,PHlazaSTSzsWm1YGgf7DyFVfSx1hZPmpNXqUS8IKj1dDEdIH2S7C7S1Zj9MiKFhTfUd-X_riOdhxZw,do b top gap
21,cDkvjgKwPInuOA8wkNq8yhWqVj69DisbDh8AxPJdvRItSo4P2LHry6EYfzcQTVkSnZL-_iDQVysqwg,sparklol
22,AotDA3cSLSxGheVaUkX6Ufi7Pv9GCZkf5LMAvLxqgI7FbCHm0tEL30h1vyd9_RUx62bvDp9fCqNMEA,Big WheeI
23,kVOwxYbeL42CaqhFqwbBA71ZP_elSr2Z4xK2apugM_-pO_mPQZ24o0NfQfu8RCu8LNZtNatrSBn92A,Levi Pug
24,g157av6NMDjiXJH6lR1zcj8d2H8cuud7DQySgU7wcbuyyIcJz5sn378uDvb2WKNkUY5HpFUnYxZVYA,Z Score
25,stTQvAXs1TfsSe2BikztMcvGC8Awlpap05tpXMX2up8fmZIDI437lKhGrKJ8ULl294xPazXEruySFQ,VoidStar
26,-yCZ1_qk0mE078Mfg6m8IGoIH85Oq9NSLKZwSx7o4__0upAAZtNzKJW9enyiwvyNWvyIi76lLq4N_A,Everest76
27,v62FsrLtN5XGEmrJiAVrNtsGgQwQFEDPucI6sE7nuJ-IoM6eIyG2d3u8XsUsi-y_W8aGQnNN2-pAhw,LlL TOP
28,SR9eZqu3JBU1h6wlPEJds8fKbRL-hrcPlix3A7R9dL4m98-Xpr69ZwqORfwZLVV4UgT5XE10hiRVUA,Cendilion
29,VhkaU31EnLdh15xtOs39ZlliXzlGAMUpXFbg9O1_FAX9iZ7xFvAd09U0E3MqVfUJmnhYoGc_VnrjYw,RIPStollie
30,jAY0vjgu2S7b17OitBCkgTy4_sspmvrjiEfGhTt_hYvhqHDMMZQ0e1Offg5rUTSaO0IM0ye5D5GI8A,Hot Ruffles8 
31,LFUDDUzOXkIC0tzUw022ghCdNu0Rk9rhjNjyRk204CSk-fctCOyAPoyB_KaKKd9U6n-r3yOjW5Eltw,Nebulus
32,OMoSxI8Zs9eAfoK55ZiVOYBPeKaWg2elAOyDIT3JhP1yDXt7GbYiBdmuIPKjs1VX9mh-VKU8SwSfaw,GrayFawx
33,h9dCj7SyM25MqBybbY8xTtMU0pldpTl-BhMqq_i3-yHdpeBUU52I8Xet9Wdc-HexTgvOk55qAoP9KA,Nee8
34,GLorOkCN4I4u7cFTzTVP1gUBYP9cqciInhUH3aJ4ryHAgdw0vYCjyXJY3ecF3RCzeh_PYjWru00bjg,ttv 7Wylly7
35,LTRYcMPTqocMlcuxA6pkiDthubFijmNkogq_etumOI0VVsfaFbiSpcZ823aRugRYOISJXDC71bdnFA,Shieda Kayn
36,G99yb3it9SWUeaDCQyEFZETvDPPfNQ8tpJEhdsCBt_sWuqOx8B2zuSaeR6vskqXZbawxhVzEKgS8lw,HelImet
37,Uk5oqEyvYRbEMLcBhAhhE0anAxqagJwyrXkT4dks_BniILCODDSxhUHZray8LkaT4FRp7d1vvjpcYg,Shroomologist
38,S1E704FGNnj-avcTIj8rGkJRaJrAmLyyIFov9Sw0IBaDUkBX-bnce0JK4acNrjIe1uBbrlc8PchgkA,align my chakras
39,ne0e9k82YhE8jP4c2mo40aATGgHe9T7jwLORIxAMYmZ2W7l3DgrICoLNQwTAmpvciD89RmZJQr4SpA,Injustable
40,55PLl0vdpB5S8FLjcnqy21XgNYYZ01-TkL49xC4xhYtilCN_KDtOONEUzOfsG2NP2fNu6ZhrGvbHCQ,enchant3r
41,-UHSOJvpAK00d9IYoIjdXxeHFrzhZgWzm-WEkrLIHZYcqOMHTLcGADR0umC1v2MrbM_LrKyN21o_ag,pawn0
42,p5h7jxhTKhQxKRV3Ep_i0GDoIySIp14PYBoQExmq4pS5W1vDidQ18K1ojAc4_IjbBVCwnt0tgnOt4w,ArticXII
43,aIedBMOEYD3nd2gasovAs99zHJwJuvFgErNPt_sbGo0WKl9QC36fQoA1oKBn_3A4M_aDREjCLv9EFA,EQon111
44,WcGkLzceN83dykxe_OvMKNPBy0w0W5fmKwvrPdD3AXsODg3WpyMkkn30t0CH59OITvltbTGrA17DqA,Mystery Bunny
45,eKEiT88hWakKU4xa0NI000zc5RhHDuTOul3H2cvrnO_xmkANz5EFOT-JLKPoDQUiwLBTL83xgQU2BQ,Arkaynn
46,0UidI6Qb0WS-7Khe1j9fyPA9TDlr0zZ3KcP1HzU7e4jfIv9jfI43FwQ87vC5o4DWhc-l9oBCmnSGKQ,RobbyBob
47,kDAEjttc9XLy3ydXBK5adoBwAwzZdFTnm4vjS9xbYsSJ1AxHpb0E-mB1CVFWxW9PfxWCJ6filniLxg,Arrogant
48,mx_DZZIs0QUYilmwqtjliZIyMkdmglxXmtk7iXEzCxgA1TE6lPWK8RMH-odTSm-opEKPxvSj-CEPlg,XiOnG XiOnG GuAl
49,oERd0NrfTLAaeBKOh5adG0zXzWonmchoeq5fCBo3mji3w5HQ35CoN3ja1pXkQ_-QBuXs30NcccLJwg,FGNERF2010
50,m7AVd3kpa6Qvmz2pySs__O13Jkuq-XDBxz4D6V-duHDxf96ok9kpdayCBYwAcZqcAo8WNViLUj8uDA,for sky
51,j_NT3Iz-1eoBxe4s8uy6choP0SncwOoNM79eLetDpSEglytPTnWHWVdz2d_OFJdF3NgOPYT1OcmMxQ,cogii
52,7vIg8NafCwiij6UU5_gPqv3rCW769bpMvL9_jfuElHjJW-nWHdnV5AYtrZES5c9j0qCmMI8zMNyJYg,EricZYang
53,jcgzHxKWoOl7XXcWnuHLM7cFqvgPpE0erXlQZqrY3qtKwtGLqCVxszwaQd1gE5vEAWygmXmxBO__ew,hi im fam
54,mcpQOh3QGLuh7fLDCioQRS1v0jjFkm4rhSwSQKSfDyfccykzW3dv2SeDuUm93fdp0WWymqcXP0jn3g,KissFight
55,bu964fnnNNwjIIyDUPgQG0b8E1p4WM-VH1NWlAfYiBsV2Ro7bNOAkQaFXlKLSIIFoBwrLIwApDqEyA,stray kid
