,match
0,NA1_3987730747
1,NA1_3987675378
2,NA1_3987659729
3,NA1_3925899919
4,NA1_3925825590
5,NA1_3925881010
6,NA1_3731679117
7,NA1_3731686391
8,NA1_3731663327
9,NA1_3704780583
10,NA1_4080656040
11,NA1_4078102220
12,NA1_4078032166
13,NA1_4077957145
14,NA1_4067042388
15,NA1_4066949128
16,NA1_4050653609
17,NA1_4049065922
18,NA1_4049051945
19,NA1_4048996506
20,NA1_4047533691
21,NA1_4047448298
22,NA1_4047454358
23,NA1_4047420591
24,NA1_4047375728
25,NA1_4047248010
26,NA1_4046858663
27,NA1_4046873261
28,NA1_4046757207
29,NA1_4046678603
30,NA1_4046427797
31,NA1_4046423595
32,NA1_4045974805
33,NA1_4045868779
34,NA1_4045816946
35,NA1_4045843483
36,NA1_4045860915
37,NA1_4045759002
38,NA1_4045766900
39,NA1_4045620449
40,NA1_4045544766
41,NA1_4045528350
42,NA1_4045488059
43,NA1_4045502542
44,NA1_4045437925
45,NA1_4045393554
46,NA1_4044473501
47,NA1_4044359403
48,NA1_4044413112
49,NA1_4044298509
50,NA1_4043576840
51,NA1_4043539226
52,NA1_4043533277
53,NA1_4038910782
54,NA1_4038873473
55,NA1_4038777930
56,NA1_4038762717
57,NA1_4038687689
58,NA1_4038713435
59,NA1_4038489911
60,NA1_4037966529
61,NA1_4037902622
62,NA1_4037866614
63,NA1_4037841148
64,NA1_4037796415
65,NA1_4037782070
66,NA1_4036784662
67,NA1_4036770978
68,NA1_4036715663
69,NA1_4036651213
70,NA1_4036605174
71,NA1_4036573438
72,NA1_4035971125
73,NA1_4035944624
74,NA1_4035856023
75,NA1_4035811491
76,NA1_4035785659
77,NA1_4035799818
78,NA1_4035164977
79,NA1_4035150669
80,NA1_4035047135
81,NA1_4034969613
82,NA1_4034946229
83,NA1_4034555191
84,NA1_4034540112
85,NA1_4034452623
86,NA1_4034370421
87,NA1_4034325189
88,NA1_4034311970
89,NA1_4034208890
90,NA1_4034234512
91,NA1_4033969229
92,NA1_4033926780
93,NA1_4033904091
94,NA1_4033758794
95,NA1_4033713633
96,NA1_4031638849
97,NA1_4031663014
98,NA1_4031557694
99,NA1_4031539392
100,NA1_4030946850
101,NA1_4030913531
102,NA1_4030906651
103,NA1_4030862910
104,NA1_4024014899
105,NA1_4023989986
106,NA1_4023945153
107,NA1_4023919906
108,NA1_4023890028
109,NA1_4019755233
110,NA1_3831814190
111,NA1_3831801573
112,NA1_3831364716
113,NA1_3867848090
114,NA1_3860961276
115,NA1_3857645608
116,NA1_3850510427
117,NA1_3850455786
118,NA1_3850412616
119,NA1_3850365619
120,NA1_3850381566
121,NA1_3850286829
122,NA1_3850262000
123,NA1_3840386730
124,NA1_3840404745
125,NA1_3840392272
126,NA1_3840340068
127,NA1_3840332809
128,NA1_3840259134
129,NA1_3840188874
130,NA1_3840195238
131,NA1_3840220649
132,NA1_3840123783
133,NA1_3840071093
134,NA1_3839749954
135,NA1_3839647479
136,NA1_3831887180
137,NA1_3831931767
138,NA1_3827923697
139,NA1_3827950581
140,NA1_3826412693
141,NA1_3826358949
