,players
0,Satoshi
1,Johnsun123
2,bogo binter
3,Sybr
4,good nightt
5,Lost Kin
6,DIG Spawn
7,Leemo
8,LeenK LCS
9,Diomarr
10,Lateeasywin
11,Nikkone
12,Fear
13,quantumfan
14,NinjaAqua
15,Pour toujours
16,Haruka Inokuma
17,Lunacia
18,Love Is Lies
19,AIlured By Day
20,LL TRIGGER
21,R0UFEN
22,FZ3R0
23,Matty
24,Kryzlx
25,Everest76
26,Minishcap1
27,Wertuy
28,NoOneHadThisName
29,Chaeha
30,Mr Comet
31,niniim
32,YourGFIsMySide
33,tibs2
34,Wounds
35,Zequilla
36,IS THAT FEEDABOI
37,Dark Wingdom
38,Cpryus
39,pawn0
40,ttvEmadTheTurk
41,KryRa 16
42,Alakay v2
43, 7MI I
44,Jido
45,Stabsie
46,Millennium Fox
47,perryjg
48,Noton
49,Call Lin
50,Instincttt
51,Djalal
52,Sebriiowo
53,Andoqs
54,Abedz
55,metalhydra273
56,Queen IU
57,Truth Dragon
58,1 800 Jungle
59,Swordblue
60,ANTHONY EVELYNN
61,Subaru Natsuki
62,Markvoops
63,Memorie Futuro
64,Zethal
65,Can1ne
66,Your Ruined King
67,coppersan
68,Iin an
69, Sudzzi
70,RobbyBob
71,lIllIIIllIlIlI
72,always plan ahea
73,M0N51eur
74,DEMON FACT
75,hooligan on rift
76,GenjisLastBreath
77,Sonic
78,Breezyyy
79,CarryingPB
80,Yi Du Zi Qi
81,TSM FrostForest
82,NA chopsticks
83,Maykel
84,lsles
85,Lefasa
86,Kat has Evolved
87,LittleChimp
88,EleJiggle
89,callum koi
90,Mojo Jojo
91,StefStef Supreme
92,Veleno
93,Deformed Jungle
94,Vuckae
95,Zeyzal
96,ChuChuZ
97,eqflashaeqr 
98,rocks908
99,The Crazy Goose
100,DrewDozer
101,Lauel
102,x9 Me After Game
103,chu love
104,KaldoLIVE
105,itzz Wags 2
106,BussyEnjoyerr808
107,Manco
108,God Sai
109,pos2
110,milqu
111,Izateylon
112,waste it on mekk
113,Sanchovies
114,Do U Remember
115,LegitKorea
116,QNTA
117,Karhus
118,Sheiden1
119,Wispete
120,The Exceed
121,coblsobr
122,Cool Crabbie
123,TL Armao
124,Plutx1
125,Ariendel
126,SUPPORT lS WEAK
127,97KR
128,parnelly
129,KingClueless
130,UnIess
131,Shi zi gou
132,SSSean
133,ye yu
134,EricZYang
135,Yura1
136,vincent nasty
137,Eye of Storm
138,Will Yuubee Mine
139,KKYY
140,Shrimp Cpt
141,SeattIe
142,MaRiTiMuS
143,Businessman47
144,Qitong
145,Fole
146,Good Boi
147,poome1
148,Herson
149,Sayhoon
150,asap nocky
151,Geiger
152,Not Sengo
153,Gganbu 001 
154,MagsLuvShanks
155,accountt
156,C9 Chad Draven
157,TES JackeyLove 8
158,Le JunMa
159, N L
160,Dadumdum
161,AutoSwolekus
162,Yaoyue
163,Better Top
164,B Lovee
165,moping
166,align my chakras
167,Kophi
168,PastIsJustAGhost
169,HelImet
170,insanityxd
171,Reckza
172,Swiftzzz
173,Int Overflow
174,Busio3
175,a liability
176,Sheiden2
177,Tempos Time
178,AsianSuperiority
179,Titan Dweevil
180,Nzm
181,Kurose
182,CC Shogo
183,Nhavilay
184,Chase
185,SkiTzee
186,ArrowNougth
187,dog2
188,INANI
189,TRAFFI UNLEASHED
190,The Nine Tail
191,Contrail
192,Mizli
193,1ris
194,no names to pick
195,Zoro 11
196,Just A Pleb
197,TSM Eclipse
198,animegirl2007
