,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,assistsplayer_4,baron_team100,killsplayer_6,riftherald_team200,dragon_team200,killsplayer_0,baron_team200,inhibs_lost_team100,ward_player_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,2.0,1.0,7.0,5.0,8.0,6.0,3.0,3.0,6.0,227.0,1879.0,164.0,1547.0,33.0,146.0,88.0,716.0,546.0,582.0,2.0,1.0,2.0,3.0,4.0,2.0,9.0,8.0,5.0,4.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,8.0,4.0,125.0,0.0,16.0,0.0,0.0,85.0,0.0,0.0,11.0,6.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,13.0,12.0,11.0,13.0,11.0,10.0,11.0,11.0,11.0,9.0,70.0,3394.0,8576.0,8761.0,0.0,5226.0,5175.0,277.0,7154.0,2644.0,135.0,149.0,10.0,135.0,150.0,12.0,106.0,27.0,112.0,23.0,11328.0,4060.0,682.0,1913.0,6223.0,915.0,1345.0,8117.0,107.0,654.0,1.0,1.0,161863.0,401999.0,234010.0,29823.0,48692.0,169909.0,222612.0,72603.0,236415.0,50446.0,1200399.0,13857.0,10975.0,9680.0,13047.0,8030.0,6593.0,6520.0,9101.0,7262.0,3613.0,11396.0,9489.0,7829.0,8392.0,9258.0,6321.0,5988.0,6841.0,6146.0,5032.0,1.0,10.0,2459.0,3520.0,421.0,2372.0,1806.0,450.0,0.0,706.0,0.0,314.0,3.0,5.0,10.0,11.0,4.0,19.0,5.0,3.0,8.0,18.0,100.0,11280.0,8852.0,8548.0,10595.0,8036.0,6618.0,8327.0,7736.0,8292.0,5575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,27,30,30,149,89,27,13,58,54,22633,18644,442,417,21061,14283,644297,984075,51207,37471,43196,33496,7508,4540,47,39,22,19,45077,38782
1,5.0,9.0,5.0,10.0,15.0,0.0,4.0,7.0,4.0,284.0,690.0,2284.0,145.0,400.0,223.0,907.0,416.0,552.0,1025.0,1.0,9.0,2.0,4.0,6.0,5.0,5.0,10.0,7.0,7.0,3.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,173.0,4.0,0.0,0.0,0.0,69.0,4.0,8.0,10.0,2.0,7.0,6.0,8.0,7.0,4.0,2.0,6.0,12.0,9.0,14.0,13.0,11.0,10.0,12.0,10.0,11.0,11.0,526.0,0.0,1213.0,13366.0,269.0,8259.0,9123.0,304.0,7780.0,0.0,112.0,9.0,17.0,135.0,139.0,10.0,132.0,10.0,135.0,100.0,7547.0,13333.0,7481.0,1600.0,12635.0,1631.0,537.0,7567.0,689.0,6997.0,0.0,1.0,113353.0,39271.0,275410.0,331359.0,24871.0,62330.0,136132.0,117799.0,133363.0,7101.0,1200361.0,10313.0,13928.0,9205.0,14966.0,12905.0,12956.0,10784.0,8277.0,8469.0,8011.0,9269.0,6590.0,10007.0,8705.0,10185.0,8718.0,9007.0,6366.0,7722.0,7925.0,1.0,11.0,2239.0,594.0,511.0,0.0,0.0,3065.0,1123.0,405.0,0.0,1014.0,11.0,39.0,3.0,5.0,10.0,32.0,11.0,5.0,6.0,7.0,100.0,9599.0,5613.0,12082.0,10418.0,8532.0,7162.0,9008.0,6998.0,8556.0,7716.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18,38,30,30,177,81,38,18,60,53,23633,17207,413,386,30894,29123,807323,433666,60345,49469,46884,37610,5815,3136,61,68,40,24,47793,37891
2,1.0,8.0,5.0,0.0,4.0,0.0,4.0,3.0,5.0,1612.0,556.0,1380.0,773.0,381.0,430.0,673.0,341.0,932.0,431.0,1.0,4.0,0.0,3.0,6.0,5.0,7.0,3.0,3.0,3.0,0.0,CLASSIC,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0,0.0,0.0,4.0,124.0,0.0,4.0,7.0,3.0,0.0,6.0,4.0,3.0,2.0,1.0,6.0,13.0,10.0,10.0,13.0,10.0,9.0,11.0,12.0,12.0,11.0,609.0,3473.0,1404.0,9277.0,630.0,8558.0,509.0,291.0,2477.0,9422.0,164.0,43.0,3.0,171.0,138.0,43.0,123.0,27.0,145.0,142.0,16402.0,1046.0,589.0,1630.0,8500.0,1130.0,4087.0,7935.0,982.0,1653.0,2.0,0.0,287923.0,95444.0,177878.0,69063.0,125473.0,253296.0,93569.0,373252.0,22672.0,164298.0,1200359.0,17945.0,5139.0,2212.0,11931.0,9256.0,10003.0,5139.0,8805.0,5008.0,11075.0,10101.0,6056.0,6345.0,9063.0,8091.0,6615.0,6688.0,7606.0,6587.0,9156.0,1.0,4.0,933.0,619.0,218.0,1023.0,126.0,314.0,542.0,578.0,1548.0,0.0,7.0,27.0,32.0,6.0,14.0,23.0,10.0,4.0,6.0,5.0,100.0,10673.0,6171.0,7117.0,11192.0,7012.0,5959.0,8510.0,9275.0,8866.0,8229.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,15,20,30,30,108,132,20,14,55,56,20478,16172,519,480,28251,15703,913633,749235,51347,35166,40215,36093,2614,3287,82,52,14,20,41953,41051
3,5.0,5.0,5.0,4.0,11.0,3.0,3.0,0.0,3.0,36.0,678.0,2078.0,1047.0,1342.0,35.0,699.0,572.0,1103.0,277.0,5.0,4.0,0.0,1.0,5.0,0.0,3.0,6.0,3.0,8.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,116.0,28.0,4.0,0.0,0.0,108.0,0.0,0.0,5.0,3.0,8.0,8.0,1.0,2.0,3.0,3.0,2.0,12.0,10.0,12.0,14.0,10.0,11.0,12.0,11.0,11.0,9.0,13980.0,2755.0,0.0,1520.0,0.0,5365.0,6716.0,574.0,1062.0,642.0,106.0,36.0,31.0,172.0,109.0,28.0,134.0,17.0,145.0,115.0,790.0,1114.0,11405.0,11674.0,3040.0,1211.0,73.0,4715.0,4377.0,11384.0,1.0,1.0,122650.0,57200.0,248579.0,29160.0,279960.0,60814.0,234036.0,425572.0,72544.0,16601.0,1200335.0,15111.0,4210.0,12122.0,14038.0,4317.0,8566.0,6790.0,5598.0,6027.0,12027.0,7911.0,5678.0,10078.0,11367.0,6477.0,6385.0,6284.0,7207.0,6458.0,6352.0,0.0,11.0,340.0,340.0,716.0,842.0,1277.0,1989.0,0.0,308.0,587.0,0.0,7.0,21.0,10.0,23.0,8.0,23.0,7.0,17.0,4.0,7.0,100.0,8662.0,6271.0,9531.0,11693.0,7146.0,7595.0,9237.0,8152.0,8052.0,5738.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,24,30,30,152,108,24,11,59,53,20865,11749,446,447,28120,21663,741163,805953,54154,34652,42218,31979,5164,1235,71,56,29,14,44627,37450
4,6.0,8.0,13.0,1.0,15.0,2.0,2.0,2.0,4.0,77.0,259.0,254.0,1307.0,977.0,465.0,663.0,1129.0,386.0,871.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,6.0,10.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,71.0,0.0,12.0,4.0,0.0,139.0,0.0,11.0,4.0,2.0,4.0,5.0,9.0,3.0,3.0,3.0,6.0,12.0,10.0,11.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,2143.0,2951.0,8189.0,6445.0,1556.0,7911.0,3136.0,464.0,4643.0,0.0,115.0,33.0,22.0,112.0,149.0,14.0,131.0,33.0,113.0,121.0,11338.0,1701.0,777.0,959.0,11709.0,626.0,5043.0,6858.0,2113.0,12155.0,1.0,0.0,450370.0,167990.0,119382.0,82668.0,15851.0,143112.0,353394.0,244500.0,56788.0,79749.0,1200317.0,13859.0,5081.0,9753.0,8587.0,14334.0,9026.0,8179.0,7970.0,8486.0,12209.0,8287.0,5924.0,7744.0,6912.0,10327.0,7189.0,8064.0,8489.0,7126.0,9166.0,5.0,10.0,378.0,429.0,785.0,1183.0,1068.0,488.0,0.0,648.0,1729.0,54.0,8.0,29.0,11.0,46.0,9.0,35.0,8.0,75.0,15.0,15.0,100.0,9465.0,6483.0,7555.0,7856.0,8373.0,6662.0,8824.0,9946.0,8128.0,7220.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,17,25,30,30,99,150,25,17,55,55,26244,11194,412,431,25409,27870,811383,902421,55559,41925,40459,38769,3902,2860,109,142,40,18,39911,40601
5,7.0,13.0,7.0,7.0,10.0,3.0,7.0,3.0,6.0,2333.0,591.0,3576.0,107.0,47.0,20.0,439.0,103.0,160.0,304.0,3.0,6.0,4.0,3.0,5.0,8.0,5.0,8.0,4.0,8.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,114.0,4.0,0.0,3.0,0.0,99.0,0.0,6.0,1.0,4.0,14.0,8.0,6.0,2.0,5.0,6.0,6.0,13.0,9.0,13.0,13.0,11.0,9.0,12.0,11.0,12.0,11.0,6383.0,5799.0,0.0,7950.0,961.0,4933.0,8002.0,834.0,590.0,768.0,156.0,21.0,16.0,140.0,143.0,30.0,104.0,9.0,115.0,144.0,3260.0,1849.0,14321.0,1032.0,10514.0,385.0,3464.0,7833.0,4702.0,11831.0,1.0,0.0,631609.0,193334.0,187190.0,85333.0,10707.0,58120.0,30694.0,113807.0,17111.0,20018.0,1200338.0,9644.0,8188.0,15145.0,11479.0,11475.0,5788.0,11597.0,9257.0,5703.0,12666.0,8658.0,6466.0,11716.0,10722.0,8312.0,5505.0,6459.0,8068.0,7965.0,9313.0,7.0,6.0,0.0,540.0,824.0,2496.0,0.0,470.0,130.0,589.0,410.0,66.0,31.0,22.0,2.0,14.0,12.0,46.0,5.0,12.0,13.0,12.0,200.0,11368.0,5358.0,11423.0,10705.0,8519.0,6032.0,8900.0,7666.0,8952.0,8569.0,6.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,23,31,30,30,124,105,31,23,59,55,20227,15993,485,393,29512,29679,972959,374964,53531,47411,44913,38271,3790,1735,105,64,37,32,48047,39445
6,7.0,13.0,7.0,4.0,9.0,2.0,9.0,6.0,8.0,947.0,669.0,686.0,493.0,1233.0,44.0,859.0,143.0,950.0,942.0,3.0,5.0,4.0,6.0,5.0,7.0,4.0,5.0,3.0,4.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,120.0,2.0,4.0,4.0,5.0,7.0,5.0,4.0,1.0,5.0,5.0,7.0,12.0,10.0,12.0,12.0,11.0,8.0,10.0,12.0,12.0,12.0,472.0,7594.0,1078.0,4976.0,694.0,3248.0,716.0,7166.0,8853.0,2978.0,149.0,10.0,38.0,107.0,125.0,10.0,86.0,17.0,127.0,145.0,9199.0,1230.0,10837.0,2385.0,12019.0,917.0,6759.0,932.0,0.0,11501.0,1.0,1.0,23656.0,75091.0,293362.0,106281.0,859.0,91347.0,127363.0,252819.0,65223.0,186007.0,1200407.0,9672.0,9475.0,12559.0,10479.0,14267.0,4165.0,9662.0,11102.0,8925.0,14480.0,9197.0,6954.0,9796.0,7598.0,7383.0,5394.0,5949.0,8318.0,7865.0,9581.0,2.0,9.0,0.0,650.0,643.0,3117.0,1553.0,0.0,2185.0,3003.0,72.0,0.0,10.0,25.0,17.0,13.0,5.0,39.0,8.0,4.0,13.0,10.0,100.0,9624.0,6556.0,9636.0,8604.0,7870.0,4931.0,6974.0,8598.0,9307.0,8748.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,25,21,30,30,88,126,21,25,55,56,10468,27307,429,385,35357,20422,515505,706503,51142,53644,39368,38667,5313,5910,84,60,32,38,40665,40183
7,2.0,6.0,5.0,4.0,11.0,6.0,2.0,2.0,1.0,631.0,280.0,1146.0,368.0,578.0,460.0,693.0,1445.0,1135.0,142.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,7.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,96.0,9.0,6.0,0.0,4.0,108.0,14.0,0.0,2.0,1.0,6.0,3.0,6.0,0.0,4.0,2.0,4.0,11.0,9.0,11.0,12.0,11.0,10.0,12.0,11.0,12.0,11.0,1469.0,2076.0,5544.0,1447.0,874.0,1988.0,682.0,846.0,4530.0,1828.0,127.0,20.0,14.0,154.0,146.0,36.0,132.0,10.0,140.0,139.0,4083.0,1108.0,761.0,4906.0,9132.0,647.0,5046.0,4947.0,1334.0,4243.0,0.0,1.0,19758.0,57894.0,235521.0,80561.0,371583.0,56582.0,76715.0,377572.0,109591.0,0.0,1200234.0,5905.0,4240.0,8686.0,7654.0,10437.0,3415.0,7186.0,6025.0,5864.0,6071.0,6556.0,5315.0,7561.0,8618.0,9278.0,5625.0,7718.0,7770.0,7555.0,7542.0,2.0,2.0,352.0,1054.0,2379.0,1300.0,429.0,780.0,1457.0,232.0,0.0,0.0,6.0,29.0,4.0,9.0,9.0,24.0,9.0,12.0,13.0,7.0,100.0,8171.0,5077.0,8465.0,9675.0,8496.0,6207.0,9454.0,7543.0,8580.0,7301.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,12,17,30,30,115,126,17,12,55,55,11322,9962,477,441,19529,16678,764005,621772,36097,29386,37638,35900,5240,2743,52,70,28,17,41014,37955
8,4.0,12.0,3.0,1.0,6.0,4.0,7.0,3.0,5.0,568.0,941.0,717.0,1168.0,298.0,83.0,1732.0,100.0,111.0,219.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,99.0,0.0,8.0,0.0,8.0,116.0,0.0,8.0,2.0,1.0,5.0,3.0,0.0,0.0,5.0,8.0,4.0,12.0,10.0,10.0,12.0,10.0,8.0,12.0,13.0,13.0,11.0,1761.0,2142.0,338.0,2735.0,394.0,5241.0,1242.0,477.0,7479.0,453.0,149.0,26.0,5.0,141.0,119.0,26.0,126.0,41.0,151.0,156.0,8731.0,1184.0,5557.0,380.0,2622.0,299.0,6734.0,8610.0,39.0,6892.0,1.0,1.0,86467.0,52320.0,330840.0,18991.0,10800.0,48552.0,177577.0,143714.0,154106.0,20584.0,1200323.0,10553.0,3794.0,6248.0,4454.0,3210.0,5863.0,9171.0,9543.0,7518.0,7345.0,8728.0,5556.0,7767.0,6963.0,5723.0,4373.0,8585.0,8925.0,9726.0,8519.0,10.0,4.0,60.0,468.0,353.0,1337.0,193.0,322.0,1194.0,456.0,0.0,0.0,10.0,36.0,4.0,12.0,10.0,32.0,11.0,5.0,5.0,10.0,200.0,8785.0,6170.0,7215.0,9229.0,6725.0,4376.0,9680.0,10669.0,10461.0,7974.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,2.0,0.0,22,10,30,30,111,132,10,22,52,59,10469,11793,440,500,17589,23459,495650,548301,30328,37371,33554,41311,2265,2118,68,67,15,31,36330,44954
9,1.0,11.0,2.0,3.0,7.0,1.0,8.0,4.0,6.0,785.0,283.0,167.0,612.0,2565.0,679.0,294.0,2043.0,1382.0,772.0,5.0,1.0,5.0,6.0,4.0,6.0,2.0,2.0,5.0,2.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,6.0,4.0,0.0,6.0,100.0,0.0,4.0,1.0,3.0,3.0,6.0,2.0,0.0,8.0,8.0,2.0,12.0,10.0,11.0,13.0,11.0,9.0,13.0,13.0,12.0,11.0,561.0,3549.0,0.0,10047.0,1085.0,2373.0,478.0,8561.0,1485.0,377.0,136.0,43.0,15.0,145.0,173.0,32.0,192.0,39.0,111.0,124.0,11408.0,461.0,5154.0,759.0,4840.0,809.0,13205.0,137.0,16447.0,8645.0,1.0,0.0,20561.0,35058.0,199158.0,42606.0,26989.0,70459.0,161427.0,580386.0,51206.0,41127.0,1200360.0,11969.0,4241.0,5380.0,11531.0,6058.0,4399.0,13745.0,9454.0,18773.0,9023.0,6460.0,6047.0,6657.0,10211.0,8090.0,4914.0,9879.0,9252.0,8267.0,6937.0,9.0,3.0,0.0,230.0,226.0,724.0,132.0,1217.0,61.0,755.0,841.0,0.0,125.0,42.0,3.0,9.0,12.0,54.0,16.0,3.0,3.0,15.0,200.0,9512.0,6503.0,8063.0,10174.0,8494.0,5985.0,10803.0,10216.0,9246.0,7318.0,1.0,0.0,5.0,0.0,3.0,0.0,2.0,2.0,0.0,26,12,30,30,105,110,12,26,56,59,14066,14450,501,509,22970,38895,359773,869204,39337,55236,36332,40382,2299,1887,203,79,14,30,42228,44086
